wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_o2d_le_5,del_rel,delivered_vol,order_bucket
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,post,1.0,20709.0,0.24332415857839587,0.17547926022502294,0.00024165095935430863,0.1753902662993572,0.803129074315515,4077.000000000001,0.807562294765308,0.5613018494374427,3.7881839376953224,3.6010445379370375,0.9676172063798937,0.9272297068907238,0.9063209232700759,0.7979910714285714,20608.0,all
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,pre,1.0,19248.0,0.0006234413965087282,0.16697838736492104,0.006702343222320361,0.1602847196965761,0.828709476309227,3296.999999999999,1.2289707486881072,0.44233167082294267,4.136675235646958,3.8085880640465795,1.045929235725048,0.8728699085619285,0.8773379052369077,0.8080424491494563,19223.0,all
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,post,1.0,8184.0,0.12365591397849462,0.2545210166177908,0.00012227928588897041,0.2545854732208364,0.9607771260997068,320.9999999999997,2.071969696969697,0.22201857282502444,4.528660049627792,3.590079608083282,1.0821716801173882,0.8231915933528837,0.8703567937438905,0.9000860267912006,8137.0,all
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,pre,1.0,7732.0,0.0005173305742369374,0.2074495602690119,0.014241325737959606,0.19342309684101502,0.9035178479048112,746.0000000000001,1.592731505431971,0.6573978272115882,4.538318748342615,3.57568688439606,1.181512169860176,0.8372995344024832,0.8784273150543197,0.8858032701790812,7706.0,all
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,post,1.0,6222.0,0.2576342012214722,0.25634844101575055,0.0022558814050918467,0.2547534643893007,0.9278367084538733,449.0000000000001,1.1719980710496705,0.8460302153648345,4.506472226773718,3.894371875503951,1.1000644537544313,0.8749598199935712,0.8784956605593057,0.8960828747167368,6178.0,all
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,pre,1.0,12174.0,0.0,0.2491375061606703,0.01224120933289517,0.23693723299375616,0.9340397568588796,802.9999999999993,1.5515853458189584,0.65212748480368,5.315037593984963,4.382389213187536,1.1929997535124477,0.823065549531789,0.8186298669295219,0.8858695652173914,12144.0,all
wave2_aug,10585,Craig Frames Inc.,Craig Frames Inc.,Decor,Waverly Winterer,2026-08-02,post,1.0,923.0,0.14734561213434452,0.20693391115926327,0.0,0.20693391115926327,0.9241603466955579,70.00000000000004,1.333694474539545,0.771397616468039,4.142857142857143,3.991332611050921,1.182015167930661,0.8158179848320694,0.8331527627302275,0.8796095444685467,922.0,all
wave2_aug,10585,Craig Frames Inc.,Craig Frames Inc.,Decor,Waverly Winterer,2026-08-02,pre,1.0,2481.0,0.0008061265618702137,0.27650141072148327,0.0016129032258064516,0.275,0.9895203546956872,26.000000000000004,1.6848045143087464,0.6618299072954453,4.610099337748345,4.22490931076179,1.1596774193548387,0.7617896009673518,0.800080612656187,0.910779168348809,2477.0,all
wave2_aug,12396,Ashley Furniture MS 38841,Ashley Furniture,Upholstery,Anne Marie Conde,2026-08-02,post,1.0,621.0,0.2721417069243156,0.33011272141706927,0.12258064516129032,0.20806451612903226,0.9806763285024155,11.999999999999984,1.103059581320451,0.6908212560386473,3.296232876712329,3.1650485436893203,0.7048387096774194,0.9259259259259259,0.9581320450885669,0.775974025974026,616.0,all
wave2_aug,12396,Ashley Furniture MS 38841,Ashley Furniture,Upholstery,Anne Marie Conde,2026-08-02,pre,1.0,1441.0,0.0013879250520471894,0.2970159611380985,0.13337988826815642,0.16550279329608938,0.9673837612768911,46.999999999999964,1.399028452463567,0.5107564191533657,3.4050258684405024,3.265734265734266,0.7108938547486033,0.9146426092990978,0.952116585704372,0.7777777777777778,1422.0,all
