wave,order_bucket,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,o2d_det,det_del_rel,del_rel,delivered_vol,det_vol
wave1_jun_jul,weekday,post,12.0,65191.0,0.018928993265941618,0.0033593594207789418,0.0010439214602619015,0.002318119713228634,0.9422926477581262,3761.9999999999977,0.8958381272339577,0.680799496863064,4.004370107209105,3.460801942612999,0.7339034050784489,0.8343176205304413,0.8599960117194091,3.212401768954217,0.7332569755973402,0.8687429620374226,64827.0,62862.0
wave1_jun_jul,weekday,pre,12.0,76415.0,0.0003664202054570438,0.009932604855067723,0.003456628477905074,0.0064811783960720135,0.899378394294314,7688.999999999996,0.9874631943990054,0.7536347575737747,4.304078977371803,3.7105852757360167,0.8360001047504321,0.8120395210364457,0.8375449846234378,3.3669312132924363,0.6854737768730313,0.8584845026823542,76239.0,72703.0
wave2_aug,fri_sat,post,70.0,11718.0,0.8880355009387267,0.7349377026796382,0.11864696335525754,0.6169812932433587,0.8811230585424134,1393.0000000000005,1.421573647380099,0.49513568868407576,4.80673805171063,4.317033484627901,1.2116682326813017,0.7781191329578426,0.7894691926949992,4.486844397978742,0.8388220944415403,0.8263180454350622,11665.0,11478.0
wave2_aug,fri_sat,pre,72.0,38797.0,0.0018300384050313168,0.7667345413305152,0.13663218183225406,0.6308144784706277,0.9840451581307833,619.0000000000001,2.4580508802226975,0.0004639533984586437,5.297033094435076,4.570657786038827,1.2613193674053818,0.682088821300616,0.7562440394875892,4.728042328042328,0.8301587301587302,0.9018694008596136,38622.0,37800.0
wave2_aug,sunday,post,72.0,10974.0,0.015126663021687626,0.14169856023327865,9.128251939753537e-05,0.14185303514376996,0.8852742846728632,1258.9999999999995,1.0581374157098598,0.9502460360852925,4.177730588126673,3.611395646606914,0.9884984025559106,0.8990340805540368,0.907782030253326,3.2881214702342376,0.7167854828256643,0.8997893194100943,10917.0,10801.0
wave2_aug,sunday,pre,72.0,25099.0,0.00023905334873899358,0.16562412845133273,0.00023917723032767282,0.1654707805150283,0.9044981871787721,2397.0,1.133471453045938,0.9266504641619188,4.40071281033575,3.8184102420930883,0.9747668022004305,0.880035061157815,0.8801147456073947,3.450866102947213,0.7019128150398161,0.8839896062362582,25015.0,24362.0
wave2_aug,weekday,post,70.0,23116.0,0.003201245890292438,0.008392455442118014,0.005762564991334489,0.002642980935875217,0.9467035819345908,1231.9999999999989,0.9332006576101064,0.8574580377227894,4.113953281818989,3.5783739202153058,0.8169844020797227,0.7987541097075619,0.8335352137047932,3.352036962992581,0.7602736683104536,0.8581924096856932,23003.0,22509.0
wave2_aug,weekday,pre,72.0,76574.0,0.0008749706166583958,0.013594692715543135,0.006603033472803347,0.00700836820083682,0.9362838561391595,4878.999999999997,1.1690435146006373,0.8031316112518609,4.505673673351821,3.8424654845252895,0.8797258948304497,0.7548253976545564,0.7961318463185938,3.6960301637031914,0.7340874259131166,0.8657327784269191,76169.0,73731.0
other,all,post,1.0,301.0,0.006644518272425249,0.0,0.0,0.0,0.973421926910299,7.999999999999986,1.7973421926910298,0.7109634551495017,5.278985507246377,5.026578073089701,1.239202657807309,0.5049833887043189,0.5415282392026578,4.8861209964412815,0.8149466192170819,0.8093645484949833,299.0,281.0
other,all,pre,1.0,539.0,0.0018552875695732839,0.0018552875695732839,0.0018552875695732839,0.0,0.9628942486085343,19.99999999999999,1.888682745825603,0.6233766233766234,6.006109979633401,5.714285714285714,1.4916512059369202,0.45083487940630795,0.47866419294990725,5.28421052631579,0.6821052631578948,0.7925233644859813,535.0,475.0
wave1_jun_jul,all,post,12.0,122268.0,0.2401118853665718,0.2003304216966009,0.005835556792326202,0.1946358710775728,0.8690254195701247,16013.999999999995,1.0256496241708448,0.6405519023783819,4.226853013499272,3.737805527559958,0.962203615946833,0.8388948866424576,0.8549007099159224,3.487863380686137,0.7268204928970794,0.8485687979876033,121646.0,118402.0
wave1_jun_jul,all,pre,12.0,135999.0,0.0003602967668879918,0.20231766410047133,0.008680683272764724,0.19373372371886358,0.9167935058346017,11316.0,1.3890674058986596,0.5552540827506085,4.561392167180335,3.95909278289803,1.0275288751563305,0.8092044794447018,0.8326899462496048,3.6908779502461577,0.7199330266280597,0.8655308612863291,135704.0,130201.0
