wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,order_bucket,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_fast_badge,del_rel,delivered_vol
wave2_aug,356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,fri_sat,pre,1.0,368.0,0.002717391304347826,0.7608695652173914,0.33152173913043476,0.42934782608695654,0.9972826086956522,0.999999999999984,2.323369565217391,0.0,4.544198895027624,3.551630434782609,0.7880434782608695,0.8858695652173914,0.9375,0.9482288828337875,367.0
wave2_aug,356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,sunday,post,1.0,94.0,0.0,0.30851063829787234,0.0,0.30851063829787234,1.0,0.0,1.0,1.0,3.6021505376344085,2.765957446808511,0.6914893617021277,0.9361702127659575,0.9787234042553191,0.9574468085106383,94.0
wave2_aug,356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,sunday,pre,1.0,225.0,0.0,0.31555555555555553,0.0,0.31555555555555553,0.9911111111111112,1.999999999999988,1.0044444444444445,0.9955555555555555,3.527027027027027,2.7142857142857144,0.6933333333333334,0.9777777777777777,0.9866666666666667,0.9596412556053812,223.0
wave2_aug,356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,weekday,post,1.0,235.0,0.0,0.0,0.0,0.0,0.9957446808510638,1.0000000000000013,0.7957446808510639,0.7957446808510639,2.8879310344827585,2.5256410256410255,0.6340425531914894,0.9659574468085106,0.9744680851063829,0.8283261802575107,233.0
wave2_aug,356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,weekday,pre,1.0,703.0,0.0,0.002844950213371266,0.0014245014245014246,0.0014245014245014246,0.9943100995732574,4.000000000000017,0.9601706970128022,0.829302987197724,3.377713458755427,2.735042735042735,0.6524216524216524,0.9075391180654339,0.9331436699857752,0.9313304721030042,699.0
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,fri_sat,post,1.0,66.0,1.0,0.9393939393939394,0.0,0.9393939393939394,1.0,0.0,1.3636363636363635,0.6363636363636364,4.96969696969697,4.075757575757576,1.2424242424242424,0.803030303030303,0.8333333333333334,0.9090909090909091,66.0
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,fri_sat,pre,1.0,299.0,0.0,0.8294314381270903,0.0,0.8294314381270903,0.9832775919732442,4.9999999999999964,2.468227424749164,0.0,4.942372881355932,4.2885906040268456,1.648829431438127,0.8060200668896321,0.8394648829431438,0.8851351351351351,296.0
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,sunday,post,1.0,65.0,0.0,0.06153846153846154,0.0,0.06153846153846154,0.9538461538461539,2.9999999999999964,1.0307692307692307,0.9692307692307692,4.625,3.6,0.9846153846153847,0.8,0.8769230769230769,0.8461538461538461,65.0
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,sunday,pre,1.0,149.0,0.0,0.026845637583892617,0.0,0.026845637583892617,0.7181208053691275,42.00000000000001,1.1275167785234899,0.87248322147651,4.938775510204081,4.331081081081081,1.7315436241610738,0.7651006711409396,0.825503355704698,0.8716216216216216,148.0
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,weekday,post,1.0,120.0,0.016666666666666666,0.008333333333333333,0.0,0.008333333333333333,0.9416666666666667,7.000000000000002,1.2333333333333334,0.9583333333333334,4.097345132743363,3.3833333333333333,1.0583333333333333,0.8,0.8833333333333333,0.7457627118644068,118.0
