wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_actual_o2d_le_5,post_actual_o2d_le_5,delta_actual_o2d_le_5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave2_aug,329946,Nourison PA 18067,Nourison,Rugs,Alex Melius,2026-08-02,278.0,155.0,-123.0,2.3992805755395685,1.3290322580645162,-1.0702483174750523,0.0,0.5032258064516129,0.5032258064516129,4.6213235294117645,4.26530612244898,-0.35601740696278483,0.8669064748201439,0.8580645161290322,-0.008841958691111707,0.8848920863309353,0.8709677419354839,-0.013924344395451427,1.5379061371841156,1.3161290322580645,-0.22177710492605107,4.215827338129497,3.8741721854304636,-0.34165515269903324,0.9676258992805755,0.9806451612903225,0.013019262009747012,0.9025270758122743,0.8344370860927153,-0.06808998971955904,9.000000000000005,3.0000000000000075,-5.999999999999998,0.0,0.896774193548387,0.896774193548387,0.7985611510791367,0.8580645161290322,0.05950336504989551,0.0,0.0,0.0,0.8014440433212996,0.8580645161290322,0.056620472807732636
wave2_aug,62366,Best Choice Products IN 46231,Best Choice Products,Decor,Shannon Hoar,2026-08-02,520.0,149.0,-371.0,2.6346153846153846,1.4228187919463087,-1.211796592669076,0.0,0.5771812080536913,0.5771812080536913,4.633136094674557,4.260273972602739,-0.3728621220718171,0.8615384615384616,0.9463087248322147,0.08477026329375315,0.8673076923076923,0.8657718120805369,-0.0015358802271554506,1.1791907514450868,1.4093959731543624,0.2302052217092756,4.194605009633912,4.268456375838926,0.0738513662050142,0.9903846153846154,0.8053691275167785,-0.18501548786783695,0.7818532818532818,0.6621621621621622,-0.11969111969111967,4.999999999999982,29.000000000000007,24.000000000000025,0.0,0.9865771812080537,0.9865771812080537,0.8480769230769231,0.7114093959731543,-0.13666752710376873,0.08670520231213873,0.006711409395973154,-0.07999379291616557,0.7630057803468208,0.7046979865771812,-0.05830779376963957
wave2_aug,344657,Shenzhenshi Daman Shiye Youxiangongsi GA 31407,Shenzhenshi Daman Shiye Youxiangongsi,APS K&D,Stella Yin,2026-08-02,327.0,146.0,-181.0,3.418960244648318,2.184931506849315,-1.2340287377990027,0.0,0.0,0.0,5.254601226993865,5.3517241379310345,0.09712291093716985,0.8470948012232415,0.8561643835616438,0.009069582338402271,0.8623853211009175,0.863013698630137,0.0006283775292195148,1.5229357798165137,1.606896551724138,0.0839607719076243,4.443425076452599,4.3310344827586205,-0.11239059369397886,0.9327217125382263,0.8356164383561644,-0.09710527418206194,0.8990825688073395,0.8482758620689655,-0.05080670673837395,21.99999999999999,24.0,2.0000000000000107,0.0,0.3493150684931507,0.3493150684931507,0.7370030581039755,0.773972602739726,0.03696954463575053,0.24464831804281345,0.1103448275862069,-0.13430349045660656,0.4923547400611621,0.6689655172413793,0.17661077718021723
wave2_aug,414154,"NINGBO JOYS IMP. EXP. CO.,LTD NJ 08505",Gymax LLC,APS Outdoor,David Liu,2026-08-02,450.0,146.0,-304.0,2.7622222222222224,1.5205479452054795,-1.2416742770167428,0.0,0.4794520547945205,0.4794520547945205,5.183257918552036,4.638888888888889,-0.5443690296631472,0.7755555555555556,0.8767123287671232,0.10115677321156769,0.8288888888888889,0.8904109589041096,0.0615220700152207,1.211111111111111,1.2534246575342465,0.04231354642313545,4.366666666666666,4.13103448275862,-0.23563218390804597,0.9933333333333333,0.9383561643835616,-0.05497716894977167,0.9688888888888889,0.8896551724137931,-0.0792337164750958,3.0000000000000195,9.000000000000004,5.999999999999984,0.0022222222222222222,0.9863013698630136,0.9840791476407914,0.8844444444444445,0.8493150684931506,-0.03512937595129384,0.23777777777777778,0.17123287671232876,-0.06654490106544902,0.6466666666666666,0.678082191780822,0.03141552511415535
wave2_aug,406363,GA.,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,APS Bedroom,Lydia Liu,2026-08-02,475.0,144.0,-331.0,2.5431578947368423,1.4791666666666667,-1.0639912280701755,0.0,0.5625,0.5625,5.2709677419354835,4.835714285714285,-0.43525345622119804,0.7473684210526316,0.8402777777777778,0.09290935672514622,0.8547368421052631,0.8472222222222222,-0.007514619883040918,1.5747368421052632,1.5208333333333333,-0.05390350877192995,4.461052631578947,4.416666666666667,-0.044385964912279974,0.9621052631578947,0.8263888888888888,-0.13571637426900585,0.9006342494714588,0.875,-0.02563424947145876,18.000000000000025,25.000000000000007,6.999999999999982,0.0,0.9652777777777778,0.9652777777777778,0.7410526315789474,0.7708333333333334,0.029780701754385963,0.13263157894736843,0.04861111111111111,-0.08402046783625733,0.608421052631579,0.7222222222222222,0.11380116959064324
wave2_aug,87326,NeoChair TX 77507,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,298.0,139.0,-159.0,2.0067114093959733,1.2517985611510791,-0.7549128482448941,0.0,0.460431654676259,0.460431654676259,4.040816326530612,3.7553956834532376,-0.28542064307737425,0.9026845637583892,0.9712230215827338,0.06853845782434453,0.9194630872483222,0.9136690647482014,-0.005794022500120732,1.1476510067114094,1.014388489208633,-0.1332625175027764,3.5454545454545454,3.5611510791366907,0.015696533682145297,0.9630872483221476,0.9928057553956835,0.02971850707353585,0.9528619528619529,0.7482014388489209,-0.20466051401303198,11.0,0.9999999999999938,-10.000000000000007,0.0,0.8561151079136691,0.8561151079136691,0.7818791946308725,0.7266187050359713,-0.05526048959490126,0.0,0.0,0.0,0.7818791946308725,0.7266187050359713,-0.05526048959490126
wave2_aug,409062,NJ-19[谷仓新泽西19号仓],"Linyi Lingmoxuan Technology Co., Ltd",APS Bedroom,Iris Sang,2026-08-02,492.0,137.0,-355.0,2.290650406504065,1.3722627737226278,-0.9183876327814371,0.0,0.5547445255474452,0.5547445255474452,4.268041237113402,4.388059701492537,0.1200184643791351,0.9288617886178862,0.8832116788321168,-0.04565010978576933,0.9471544715447154,0.9197080291970803,-0.027446442347635158,0.790650406504065,0.7226277372262774,-0.06802266927778766,3.5833333333333335,3.7372262773722627,0.15389294403892917,0.9979674796747967,0.9854014598540146,-0.012566019820782093,0.9329268292682927,0.8613138686131386,-0.0716129606551541,1.000000000000019,1.9999999999999976,0.9999999999999785,0.0,0.9343065693430657,0.9343065693430657,0.7703252032520326,0.8321167883211679,0.06179158506913529,0.41260162601626016,0.44525547445255476,0.0326538484362946,0.35772357723577236,0.38686131386861317,0.029137736632840805
wave2_aug,225771,Shenzhenshixiangde CA91761(12),"HONG KONG LIUXIN TECHNOLOGY CO., LIMITED",APS,Yolanda GUI,2026-08-02,405.0,133.0,-272.0,2.5037037037037035,1.4210526315789473,-1.0826510721247562,0.0,0.5789473684210527,0.5789473684210527,6.071782178217822,4.857142857142857,-1.2146393210749649,0.5037037037037037,0.7142857142857143,0.21058201058201065,0.6098765432098765,0.706766917293233,0.09689037408335655,1.6666666666666667,1.112781954887218,-0.5538847117794488,5.688888888888889,4.526315789473684,-1.162573099415205,0.9753086419753086,0.9172932330827067,-0.05801540889260193,0.8716049382716049,0.8345864661654135,-0.03701847210619136,10.0,11.000000000000007,1.000000000000007,0.0024691358024691358,1.0,0.9975308641975309,0.5925925925925926,0.7218045112781954,0.1292119186856029,0.07901234567901234,0.0,-0.07901234567901234,0.5135802469135803,0.7218045112781954,0.20822426436461516
wave2_aug,346062,"FUFU and GAGA Trade Co., Ltd. CA 91761 (3)","FUFU and GAGA Trade Co., Ltd.",APS Bedroom,Christal Ding,2026-08-02,381.0,131.0,-250.0,2.4986876640419946,1.4732824427480915,-1.025405221293903,0.0,0.4961832061068702,0.4961832061068702,5.88,5.969230769230769,0.08923076923076945,0.5485564304461942,0.7404580152671756,0.1919015848209814,0.6299212598425197,0.6717557251908397,0.04183446534832003,1.5958005249343832,1.5038167938931297,-0.09198373104125346,5.2493438320209975,4.884615384615385,-0.3647284474056125,0.9921259842519685,0.7099236641221374,-0.28220232012983115,0.9028871391076115,0.7441860465116279,-0.15870109259598364,2.9999999999999947,38.00000000000001,35.000000000000014,0.0,0.9847328244274809,0.9847328244274809,0.6850393700787402,0.5648854961832062,-0.120153873895534,0.0026246719160104987,0.0,-0.0026246719160104987,0.6824146981627297,0.5648854961832062,-0.11752920197952355
wave2_aug,125733,Shenzhen Zhichen Trading Co. LTD. CA 91748,Shenzhen Zhichen Trading Co. LTD.,APS K&D,Stella Yin,2026-08-02,423.0,128.0,-295.0,2.392434988179669,1.3046875,-1.087747488179669,0.0,0.5703125,0.5703125,5.904076738609112,4.8359375,-1.0681392386091124,0.524822695035461,0.71875,0.19392730496453903,0.6004728132387707,0.75,0.14952718676122934,1.2860520094562649,0.5984251968503937,-0.6876268126058711,5.061611374407583,4.0,-1.0616113744075832,0.9858156028368794,0.9609375,-0.024878102836879412,0.8836104513064132,0.8582677165354331,-0.025342734770980146,6.000000000000009,5.0,-1.0000000000000089,0.0,0.9375,0.9375,0.6997635933806147,0.765625,0.06586140661938533,0.06855791962174941,0.47244094488188976,0.40388302526014036,0.6312056737588653,0.2992125984251969,-0.3319930753336684
