wave,order_bucket,weeks_from_enable,week_start,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,det_o2d,det_del_rel,del_rel,delivered_vol,det_vol
wave1_jun_jul,fri_sat,5,2026-08-09,10.0,4158.0,0.7472342472342473,0.733044733044733,0.0002405002405002405,0.7328042328042328,0.9095719095719096,375.99999999999994,1.3273208273208272,0.4701779701779702,4.336545589325426,4.265031265031265,1.3888888888888888,0.841991341991342,0.8484848484848485,4.171689723320158,0.8027898027898028,0.7936507936507936,4158.0,4048.0
wave1_jun_jul,fri_sat,5,2026-08-16,1.0,194.0,0.7783505154639175,0.7731958762886598,0.4793814432989691,0.29381443298969073,0.9484536082474226,10.000000000000007,1.0257731958762886,0.5463917525773195,5.126315789473685,4.329896907216495,0.5824742268041238,0.6701030927835051,0.6752577319587629,5.021621621621621,0.8608247422680413,0.9020618556701031,194.0,185.0
wave1_jun_jul,fri_sat,6,2026-08-02,1.0,501.0,0.8822355289421158,0.5389221556886228,0.0,0.5389221556886228,0.780439121756487,110.00000000000001,1.3193612774451098,0.5409181636726547,4.695121951219512,3.870259481037924,1.1976047904191616,0.7784431137724551,0.9161676646706587,3.5100806451612905,0.437125748502994,0.9121756487025948,501.0,496.0
wave1_jun_jul,fri_sat,6,2026-08-16,10.0,3981.0,0.7678975131876413,0.7344888219040442,0.0012559658377292139,0.7332328560663149,0.8728962572218035,506.00000000000017,1.3524240140668173,0.48857071087666415,4.285237483953787,4.128359708615926,1.2994222557146446,0.8477769404672193,0.8269279075609144,4.259412068076328,0.8359708615925647,0.7879929665913087,3981.0,3878.0
wave1_jun_jul,fri_sat,6,2026-08-23,1.0,157.0,0.910828025477707,0.8407643312101911,0.5859872611464968,0.25477707006369427,0.9745222929936306,3.999999999999999,1.2356687898089171,0.5987261146496815,4.5855263157894735,4.095541401273885,0.5859872611464968,0.7834394904458599,0.7707006369426752,4.639455782312925,0.8853503184713376,0.802547770700637,157.0,147.0
wave1_jun_jul,fri_sat,7,2026-08-09,1.0,483.0,0.855072463768116,0.6563146997929606,0.0,0.6563146997929606,0.8840579710144928,55.99999999999998,1.2028985507246377,0.5300207039337475,4.801670146137787,3.8654244306418217,1.1407867494824016,0.7950310559006211,0.9461697722567288,3.3347193347193347,0.39544513457556935,0.9420289855072463,483.0,481.0
wave1_jun_jul,fri_sat,7,2026-08-23,10.0,3843.0,0.9175123601353109,0.7678896695290138,0.00026021337496747333,0.7676294561540463,0.8722352328909706,491.0,1.409067222511725,0.6016133229247983,4.187865886109633,3.957302785732882,1.3256904637832205,0.8670309653916212,0.868592245641426,4.205278592375366,0.887327608639084,0.8066614623991674,3843.0,3751.0
wave1_jun_jul,fri_sat,8,2026-08-16,1.0,501.0,0.8782435129740519,0.6806387225548902,0.001996007984031936,0.6786427145708582,0.9500998003992016,24.999999999999993,1.3872255489021956,0.48303393213572854,5.103448275862069,3.7624750499001998,1.0119760479041917,0.8283433133732535,0.9121756487025948,3.4949290060851927,0.43912175648702595,0.9441117764471058,501.0,493.0
wave1_jun_jul,fri_sat,9,2026-08-23,1.0,491.0,0.924643584521385,0.9266802443991853,0.0,0.9266802443991853,0.9959266802443992,1.9999999999999774,1.305498981670061,0.5743380855397149,4.995884773662551,4.134419551934827,1.2932790224032586,0.8126272912423625,0.9083503054989817,3.403292181069959,0.29327902240325865,0.9674134419551935,491.0,486.0
wave1_jun_jul,sunday,-6,2026-05-31,1.0,154.0,0.0,0.18831168831168832,0.0,0.18831168831168832,0.987012987012987,2.000000000000001,1.0,1.0,4.355263157894737,4.590909090909091,0.8376623376623377,0.8181818181818182,0.7662337662337663,4.224489795918367,0.7272727272727273,0.7727272727272727,154.0,147.0
wave1_jun_jul,sunday,-5,2026-05-31,10.0,2669.0,0.0003746721618583739,0.04795803671787186,0.0,0.04795803671787186,0.8017984263769202,528.9999999999999,1.1131509928812289,0.9906331959535406,3.771450265755505,3.5754964406144625,1.1626077182465342,0.9659048332708879,0.9396777819408018,3.2021943573667713,0.5822405395279131,0.8696140876732859,2669.0,2552.0
wave1_jun_jul,sunday,-5,2026-06-07,1.0,166.0,0.0,0.42168674698795183,0.0,0.42168674698795183,1.0,0.0,1.0,1.0,4.0,3.6506024096385543,0.5783132530120482,0.8554216867469879,0.9036144578313253,3.84375,0.8975903614457831,0.9397590361445783,166.0,160.0
wave1_jun_jul,sunday,-4,2026-06-07,10.0,3160.0,0.0006329113924050633,0.054746835443037975,0.0,0.054746835443037975,0.8958860759493671,329.0,1.0563291139240507,0.9889240506329114,3.7476605356566632,3.4265822784810127,1.0563291139240507,0.9617088607594937,0.9462025316455697,3.2226277372262775,0.6683544303797468,0.8781645569620253,3160.0,3014.0
wave1_jun_jul,sunday,-4,2026-06-14,1.0,213.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0187793427230047,0.9953051643192489,3.7677725118483414,3.6291079812206575,1.0187793427230047,0.9061032863849765,0.892018779342723,3.6108374384236455,0.8169014084507042,0.8967136150234741,213.0,203.0
wave1_jun_jul,sunday,-3,2026-05-31,1.0,387.0,0.0,0.0,0.0,0.0,0.9560723514211886,17.0,1.0,1.0,3.7844155844155845,3.20671834625323,1.0439276485788114,0.9896640826873385,0.979328165374677,3.0392156862745097,0.7286821705426356,0.9534883720930233,387.0,357.0
wave1_jun_jul,sunday,-3,2026-06-14,10.0,3233.0,0.0003093102381688834,0.07021342406433653,0.0,0.07021342406433653,0.9214351995051037,253.99999999999986,1.1574389112279617,0.9879369007114136,3.751568381430364,3.479740179399938,1.0578410145375812,0.9687596659449428,0.9440148468914321,3.199288256227758,0.6483142592019796,0.8666872873492113,3233.0,3091.0
wave1_jun_jul,sunday,-3,2026-06-21,1.0,106.0,0.0,0.5283018867924528,0.0,0.5283018867924528,1.0,0.0,1.0,1.0,3.8962264150943398,3.811320754716981,0.4716981132075472,0.839622641509434,0.839622641509434,3.9405940594059405,0.839622641509434,0.8679245283018868,106.0,101.0
wave1_jun_jul,sunday,-2,2026-06-07,1.0,390.0,0.0,0.2282051282051282,0.0,0.2282051282051282,0.9948717948717949,1.999999999999993,1.0153846153846153,0.9948717948717949,3.6465968586387434,3.08974358974359,0.7871794871794872,0.9794871794871794,0.9948717948717949,3.0493150684931507,0.8256410256410256,0.9282051282051282,390.0,365.0
wave1_jun_jul,sunday,-2,2026-06-21,10.0,2209.0,0.0,0.08239022181982798,0.0,0.08239022181982798,0.9488456315074695,112.99999999999993,1.1027614305115436,0.9891353553644183,3.6157386102162907,3.3214124038026256,0.996831145314622,0.9701222272521502,0.9551833408782254,3.1192399049881234,0.736985061113626,0.8909008601177003,2209.0,2105.0
wave1_jun_jul,sunday,-1,2026-06-14,1.0,565.0,0.0,0.2884955752212389,0.0,0.2884955752212389,0.9982300884955753,0.9999999999999765,1.0017699115044247,0.9982300884955753,3.679715302491103,2.9486725663716813,0.7150442477876107,0.9893805309734514,0.9911504424778761,2.988785046728972,0.8672566371681416,0.9752212389380531,565.0,535.0
