supplier_id,su_name,lt,cutoff,station_name,address,city,state,postal_code,sto,marketing_category,srm,last_6_weeks_volume,fri_sat_order_volume,fri_sat_weekend_shipped_volume,pct_fri_sat_shipped_on_sat_or_sun,ifr,weekend_shipping_candidate
372404,"Foshan Baogeli Furniture Co., LTD TX 77423",24.0,,HOUSTON LOCAL,2062 Woods Road,Brookshire,TX,77423,APS Upholstery,Upholstery - Core,Asia Supplier Service Desk,66,17,13,0.7647,1.0,True
477621,"Xiamen Xuhui Trading Co., Ltd. TX 77494",24.0,,HOUSTON LOCAL,28501 Hwy Blvd,Katy,TX,77494,APS Mattresses,Mattresses,Blair-Yaqing Gong,71,17,13,0.7647,0.9155,True
98734,"Zhejiang Linya Co., Ltd GA 30294",24.0,00:00:00,BRASELTON,2105 Buford Highway,Buford,GA,30518,APS Home Improvement,Outdoor Structures,Danica Guo,47,16,16,1.0,0.9149,True
206124,ruianshiqitengjiejuyouxiangongsi CA 91710,24.0,00:00:00,,C/O 14310 Ramona Avenue,Chino ,CA,91710,Plumbing,Plumbing - Core,Asia Supplier Service Desk,46,16,15,0.9375,0.9348,True
268493,WL_COPE_NJ5_NJ_07064,24.0,,SOUTH CARTERET,1001 W Middlesex Ave,Port Reading,NJ,07064,APS,Furniture - Bedroom,Stella Yin,48,16,14,0.875,0.9375,True
344132,Shenzhenshi Daman Shiye Youxiangongsi TX 77494,24.0,,HOUSTON LOCAL,28501 Hwy Blvd,Katy,TX,77494,APS K&D,Accent Furniture,Stella Yin,55,16,13,0.8125,0.9636,True
86423,haoqingnianus inc CA 92337,24.0,00:00:00,WEST RIALTO,10850 Business Dr,Fontana,CA,92337,APS,Furniture - Bedroom,Asia Supplier Service Desk,53,15,13,0.8667,1.0,True
321956,Zhejiang Huiguan Leisure Products NV 89115,24.0,00:00:00,NORTH LAS VEGAS RSF,5675 E Ann Rd,Las Vegas,NV,89115,APS Home Improvement,Outdoor Structures,Danica Guo,79,15,12,0.8,0.9367,True
401116,Eco Candle Company WI 54911,24.0,,OSHKOSH,123 E College Ave,Appleton,WI,54911,Decor,Decorative Accent - Home Accents,Supplier Service Desk,59,15,11,0.7333,1.0,True
460584,Chengdushi Fengteng Technology Co Ltd TX 77067,24.0,,SPRING,11142 Beltline Road,Houston,TX,77067,APS Home Improvement,Flooring,Asia Supplier Service Desk,63,15,12,0.8,0.9841,True
496773,zhengzhoushirupiaodianzishangwuyouxiangongsi CA 92880,24.0,,CHINO LOCAL,"14909 Summit Drive,DOCK #17-#18 dock",Eastvale,CA,92880,APS Bedroom,Furniture - Bedroom,Lydia Liu,63,15,12,0.8,0.9841,True
60850,Iconic Pet NJ 07027,24.0,,WOODBRIDGE LOCAL,611 South Ave,Garwood,NJ,07027,Pet,Pet,Alyssa Haniff,52,14,12,0.8571,1.0,True
82228,CAN_Leisure Time Products,24.0,05:00:00,BARRIE,280 Victoria Street West,Dundalk,ON,N0C 1B0,Recreation,Recreation,Milana Malko,75,14,12,0.8571,0.96,True
136990,"May Deco, Inc. NJ",24.0,00:00:00,SECAUCUS,480 Main Ave,Wallington,NJ,07057,Decor,Furniture - Kitchen and Dining,Allie Neyman,67,14,11,0.7857,0.8507,True
147454,"Shenzhen Huli Network Technology Co., Ltd. TX 75050",24.0,,ARLINGTON,1113 West Oakdale Road,Grand Prairie,TX,75050,APS,Upholstery - Core,Naomi JI,41,14,10,0.7143,0.878,True
319936,"VISION VORTEX CO.,LTD NJ 08016(2)",24.0,,ROBBINSVILLE,1950 River Road,Burlington,NJ,08016,APS Outdoor,Outdoor,Qiwen Fan,36,14,13,0.9286,0.9722,True
319993,Yantai Luoming Xinxijishu Youxiangongsi NJ 07064,24.0,,SOUTH CARTERET,1001 W Middlesex Ave,Port Reading,NJ,07064,APS Bedroom,Outdoor,Wendy Wang,41,14,13,0.9286,0.8537,True
460602,Shenzhenshi Jiushangding Technology Co Ltd IL 60502,24.0,,SOUTH CHICAGO,"C/O 4275 Ferry Rd, Aurora, IL 60502",Aurora,IL,60502,APS Home Improvement,Decorative Accent - Wall Accents,Asia Supplier Service Desk,54,14,10,0.7143,0.9444,True
461235,"GOODLUX TRADING CO.,LTD. CA 92337-7457",24.0,,WEST RIALTO,11281 CITRUS AVE,FONTANA,CA,92337-7457,APS Home Improvement,Lighting,Asia Supplier Service Desk,36,14,10,0.7143,0.8889,True
482754,shenzhenshishangfakejiyouxiangongsi PA 19030,24.0,,PHILADELPHIA,C/O 500 Ben Fairless Dr,Fairless Hills,PA,19030,APS Outdoor,Recreation,Supplier Service Desk,63,14,10,0.7143,0.9683,True
200221,GC美中1号仓,24.0,,NILES,CO 901 Chase Ave,Elk Grove Village,IL,60007,APS Home Improvement,Lighting,Asia Supplier Service Desk,41,13,10,0.7692,0.9512,True
266198,Ningbo Free Trade Zone Top Green Industry and Trade Co Ltd NJ 08016,24.0,,ROBBINSVILLE,1950 River Rd,Burlington,NJ,08016,Wayfair,Outdoor,Asia Supplier Service Desk,56,13,10,0.7692,0.9821,True
307853,"Chengdushi Furong Technology Co., Ltd. GA 30168",24.0,,AUSTELL,CO 7915 White Road,Austell,GA,30168,APS Home Improvement,Lighting,Asia Supplier Service Desk,36,13,11,0.8462,0.9722,True
353131,shenzhenshi linenmaoyi youxiangongsi CA 91748,24.0,00:00:00,INDUSTRY,18450 East Gale Avenue,Industry,CA,91748,APS K&D,Furniture - Bedroom,Stella Yin,71,13,11,0.8462,0.9718,True
441900,NANPING ZHONGLEI JIAJUYONGPIN YOUXIANGONGSI TX 77494,24.0,,HOUSTON LOCAL,28119 KATY FWY,KATY,TX,77494,APS K&D,Storage & Org - Furniture Adj,Asia Supplier Service Desk,49,13,12,0.9231,0.9184,True
