ops,purchase_order_number,supplier_id,su_name,city_name,state_name,order_complete_date,msbd_su,order_dow,is_fri_sat_placed,o2d_stated,cushion,is_before_cutoff,order_hour_supplier_local,adj_cushion,adj_2pm_cutoff,adj_weekend,sim_current,sim_policy,sim_full,inducted_on_time_or_early,badge_current_1d,badge_current_2d,badge_current_3d,badge_current_fast,badge_policy_1d,badge_policy_2d,badge_policy_3d,badge_policy_fast,badge_full_1d,badge_full_2d,badge_full_3d,badge_full_fast,new_from_cutoff_1d,new_from_cutoff_2d,new_from_cutoff_3d,new_from_cutoff_fast,new_from_weekend_1d,new_from_weekend_2d,new_from_weekend_3d,new_from_weekend_fast
11408176186,662090754,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-15,7,0,6,1,1,22,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11408281656,662403969,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-16,7,0,20,1,1,0,1,0,0,20,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408548686,662835785,10114,Safavieh PA 18042a,Easton,PA,2026-06-17,2026-06-18,4,0,4,1,0,12,1,1,0,4,2,2,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
11408592746,662553856,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,18,1,0,21,1,0,0,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408814406,662186078,10114,Safavieh PA 18042a,Easton,PA,2026-06-14,2026-06-15,1,0,4,1,1,13,1,0,0,4,3,3,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11410509876,662486962,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,7,1,0,16,1,0,0,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11410619756,662506022,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,9,1,0,17,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11410662626,662512867,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,9,1,0,18,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11410943846,662564068,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,9,1,0,21,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411149306,662597180,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-17,2,0,10,1,0,0,1,1,0,10,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411214606,662609472,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-17,2,0,8,1,0,2,1,1,0,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411854616,662717330,10114,Safavieh PA 18042a,Easton,PA,2026-06-16,2026-06-17,3,0,17,1,0,17,1,0,0,17,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411965856,662731028,10114,Safavieh PA 18042a,Easton,PA,2026-06-16,2026-06-17,3,0,20,1,0,19,1,0,0,20,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412206636,662769164,10114,Safavieh PA 18042a,Easton,PA,2026-06-16,2026-06-17,3,0,17,1,0,23,1,0,0,17,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412665556,662837559,10114,Safavieh PA 18042a,Easton,PA,2026-06-17,2026-06-18,4,0,8,1,0,12,1,1,0,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413402376,664518308,10114,Safavieh PA 18042a,Easton,PA,2026-06-26,2026-06-29,6,1,11,1,0,16,1,0,1,11,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413446506,663968463,10114,Safavieh PA 18042a,Easton,PA,2026-06-23,2026-06-24,3,0,9,1,0,21,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413641586,662991169,10114,Safavieh PA 18042a,Easton,PA,2026-06-18,2026-06-19,5,1,4,1,0,10,1,1,1,4,2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
11413862016,663034149,10114,Safavieh PA 18042a,Easton,PA,2026-06-18,2026-06-19,5,1,18,1,0,14,1,1,1,18,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11415351076,663446217,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,6,1,1,2,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11415577346,663304419,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,5,1,1,9,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11415694296,663330005,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,6,1,1,12,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11415893286,663365451,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,9,1,1,15,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11416010196,663384699,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,4,1,1,17,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11416166636,663407796,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,6,1,1,20,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11416623876,663457072,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-22,1,0,9,1,1,8,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11416658236,663469799,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-22,1,0,15,1,1,10,1,0,0,15,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11416854196,663505317,10114,Safavieh PA 18042a,Easton,PA,2026-06-21,2026-06-22,1,0,3,1,1,14,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
