parentsuid,parentsuname,srm,warehouse_names,ifr
63929,Hong Kong HuaYa Trade Limited,Yinan Du,"shanghaihuzidian NJ 07836, shanghaihuzidianzishangwuyouxiangongsi CA 91789, shanghaihuzidianzishangwuyouxiangongsi NJ 08016, shenzhenshilijinchengmaoyiyouxiangongsi GA 30331, shilijincheng dangerous CA 91762(2)",96.0%
64179,BLUEBELL INTERNATIONAL INC.,Yolanda GUI,BLUEBELL INTERNATIONAL INC. CA 91761,88.0%
64494,Tmekeeper INC.,Christal Ding,Tmekeeper INC. CA 91761 (3),86.0%
65593,"Shenzhen Laiwo Trading Co., Ltd.",Stella Yin,"Shenzhen Laiwo Trading Co., Ltd. NJ 08817",98.0%
67652,HK DANSHUO TRADING LIMITED,Yolanda GUI,Shenzhenshi hongyanzhiji keji CA 91761(6),88.0%
67653,"HONG KONG LIUXIN TECHNOLOGY CO., LIMITED",Yolanda GUI,Shenzhenshixiangde CA91761(12),88.0%
68916,SPRINGDIAL (HK) E-COMMERCE LIMITED,Sean Xu,"CHITA (HK) IMPORT & EXPORT CO., LIMITED CA 91762",88.0%
76761,Shenzhenshi Daman Shiye Youxiangongsi,Stella Yin,Shenzhenshi Daman Shiye Youxiangongsi GA 31407,97.0%
88120,LINYA OUTDOOR LIVING LLC,Danica Guo,"Zhejiang Linya Co., Ltd NJ 07036",90.0%
91036,NEW BKFARMHOUSE INC,Regan Zou,NEW BKFARMHOUSE INC CA 91761 (4),86.0%
102598,HONG KONG LINSYHOME INTERNATIONAL TRADING LIMITED,Wendy Wang,Hong Kong Linsy International Trading NJ 08016(2),96.0%
103843,Zhejiang Paide Network Technology Co Ltd,Ricky Yu,Zhejiang Paide Network Technology Co Ltd CA 92571,99.0%
209607,shenzhenzhijingdianzishangwuyouxiangongsi,Lydia Liu,shenzhenzhijingdianzishangwuyouxiangong WPPA2,96.0%
232557,aifei(shanghai)kejiyouxiangongsi,Eve Deng,aifei(shanghai)kejiyouxiangongsi GA 30517,93.0%
234327,Hong Kong Baojia International Limited,Yinan Du,"无忧达美东区NJJW04, 无忧达美西区CAJW02",97.5%
238144,"Hangzhou Skytech Outdoor Co., LTD",Danica Guo,"HangzhouSkytech NJ 08016, Hangzhou Skytech Outdoor Co., LTD CA 92880",98.0%
240114,Ningboyuxudianzishangwuyouxiangongsi,Ricky Yu,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,94.0%
248914,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,Lydia Liu,GA.,87.0%
251752,LUXHOME (HK) TRADING LIMITED,Lydia Liu,"USSAV02, USNJHM01",98.5%
254999,"Shenzhen Litian Technology Co., Ltd",Nicole Sun,"Shenzhen Litian Technology Co., Ltd CA 92324",95.0%
271648,Stellweilan Tessberg LLC,Supplier Service Desk,Stellweilan Tessberg LLC CA 91789,100.0%
276785,GLERUS LTD,Zichu Wang,GLERUS LTD NJ 07036,91.0%
286747,"Linyi Lingmoxuan Technology Co., Ltd",Iris Sang,NJ-19[谷仓新泽西19号仓],99.0%
313810,"Hangzhou Mengfeisi Home Furnishings Co., Ltd",Moti Mao,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571",100.0%
324772,zhengzhoushijianxingwangluokejiyouxiangongsi,Lydia Liu,zhengzhoushijianxingwangluokejiyouxiangongsi GA 31407,98.0%
