supplier_type,supplier_id,su_name,sto,own_state,assigned_hub,total_vol,direct_vol,pct_direct,ifr_direct,ifr_local,ifr_lift,del_direct,del_local,del_lift,avg_gain_direct
constrained,70574,Yaheetech CA 91761,APS AEOF,CA,CHINO LOCAL,8326,589,0.07074225318280086,0.8709677419354841,0.9050897799378965,-0.034122038002412425,0.8471986417657047,0.8702578641825301,-0.023059222416825453,0.8925831552505445
constrained,460941,   USCOI03,APS Bedroom,CA,WEST RIALTO,4142,580,0.1400289715113472,0.9672413793103453,0.8766292816004855,0.09061209770985978,0.8689655172413788,0.8805698696574721,-0.011604352416093255,0.9304828065496729
constrained,36015,Jaipur Rugs GA30102,Rugs,GA,MARIETTA LOCAL,5333,574,0.10763172698293644,0.9512195121951217,0.9333902647309986,0.017829247464123066,0.876306620209059,0.8603757472245945,0.015930872984464495,0.8965585173971766
constrained,21190,Globe Electric Company CA 92410,Lighting,CA,WEST RIALTO,3395,568,0.16730486008836523,0.8890845070422533,0.8250922509225093,0.06399225611974402,0.7992957746478873,0.8040590405904061,-0.004763265942518857,0.9527048633173922
constrained,48714,Balta Incorporated GA 31320,Rugs,GA,SAVANNAH,5599,558,0.0996606536881586,0.9408602150537632,0.9661326302981132,-0.025272415244350088,0.8530465949820788,0.8884607584668439,-0.035414163484765115,0.9175446685154182
constrained,111282,Costway CA 92374 [2],APS Outdoor,CA,WEST RIALTO,6534,556,0.08509335782063054,0.8543165467625896,0.8901190724879874,-0.03580252572539777,0.7751798561151083,0.8704825569250039,-0.09530270080989556,0.9285683213913118
constrained,125473,Tregards LLC CA 91730,APS,CA,WEST RIALTO,2716,526,0.19366715758468336,0.7946768060836504,0.8524590163934422,-0.057782210309791804,0.815589353612167,0.8077496274217586,0.007839726190408403,0.9513091173710156
constrained,74080,"Fitueyes,Inc. CA 91744",APS,CA,INDUSTRY,6095,523,0.08580803937653815,0.95793499043977,0.9105873550318001,0.047347635407969935,0.8546845124282987,0.8449307893752336,0.0097537230530651,0.9236439235905031
constrained,313259,AM-CA,APS,CA,WEST RIALTO,4250,521,0.12258823529411765,0.7293666026871405,0.9243421052631593,-0.1949755025760188,0.7850287907869485,0.8625730994152047,-0.07754430862825612,0.9335201837298355
constrained,288246,"Xiamen Yakesi e-commerce.CO., LTD CA 91761 ",APS,CA,CHINO LOCAL,3055,520,0.1702127659574468,0.8673076923076924,0.9016460905349797,-0.03433839822728724,0.8711538461538466,0.8386831275720159,0.032470718581830704,0.9451550061524175
constrained,101813,"Zhejiang Xingyang Furniture Co.,Ltd. CA 92880",APS,CA,CHINO LOCAL,2856,517,0.18102240896358543,1.0,0.9347635726795114,0.06523642732048862,0.9613152804642171,0.8555166374781102,0.10579864298610686,0.9519368808012943
constrained,272846,Pony Bros-2,APS Youth,CA,CHINO LOCAL,4694,509,0.10843630166169578,0.41650294695481277,0.6689136634690163,-0.2524107165142035,0.7858546168958748,0.7829919626652843,0.002862654230590511,0.9455517051297888
constrained,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",APS Outdoor,CA,RIALTO LOCAL,3953,509,0.12876296483683278,0.9882121807465617,0.9565357372826778,0.031676443463883874,0.9744597249508845,0.8792659368963298,0.0951937880545547,0.95612729883279
