sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
Flooring,local_wrong_hub,3356,0.8644219308700828,0.8781287246722278,13856,0.24220554272517322
Flooring,misshipping,202,0.4554455445544553,0.39603960396039584,13856,0.01457852193995381
Flooring,other_closer,731,0.8563611491108074,0.8563611491108074,13856,0.052756928406466515
Grills,aligned,1173,0.9386189258312022,0.8533674339300935,2060,0.5694174757281554
Grills,ghost,32,0.5625000000000001,0.37499999999999994,2060,0.015533980582524271
Grills,local_wrong_hub,528,0.8787878787878789,0.9071969696969696,2060,0.2563106796116505
Grills,misshipping,36,0.9722222222222221,0.611111111111111,2060,0.017475728155339806
Grills,other_closer,291,0.7353951890034364,0.8487972508591064,2060,0.14126213592233008
Hardware,aligned,18368,0.9386432926829266,0.8742922473867604,32931,0.5577723118034679
Hardware,ghost,184,0.7499999999999998,0.467391304347826,32931,0.00558744040569676
Hardware,local_wrong_hub,12506,0.9245162322085396,0.8829361906284995,32931,0.37976374844371563
Hardware,misshipping,1381,0.8805213613323679,0.7313540912382334,32931,0.041936169566669707
Hardware,other_closer,492,0.8780487804878048,0.8333333333333338,32931,0.014940329780450031
Kitchen & Small Electrics,aligned,15079,0.8761191060415136,0.6192055176072664,23725,0.6355742887249737
Kitchen & Small Electrics,ghost,246,0.8617886178861786,0.2967479674796749,23725,0.010368809272918863
Kitchen & Small Electrics,local_wrong_hub,7188,0.9097106288258197,0.8753478018920418,23725,0.30297154899894624
Kitchen & Small Electrics,misshipping,277,0.8772563176895307,0.6931407942238268,23725,0.0116754478398314
Kitchen & Small Electrics,other_closer,935,0.8224598930481285,0.8128342245989304,23725,0.039409905163329824
Lighting,aligned,35258,0.8957116115491516,0.8155312269555846,66850,0.5274195961106956
Lighting,ghost,481,0.8399168399168401,0.604989604989605,66850,0.007195213163799551
Lighting,local_wrong_hub,22687,0.8749063340238896,0.8831489399215408,66850,0.3393717277486911
Lighting,misshipping,2447,0.8729055986922759,0.5500612995504706,66850,0.036604338070306656
Lighting,other_closer,5977,0.8010707712899467,0.8360381462272052,66850,0.08940912490650711
Mattress,aligned,12790,0.8549648162627062,0.808835027365129,18831,0.6791991928203495
Mattress,ghost,163,0.8220858895705523,0.5153374233128832,18831,0.008655939673941904
Mattress,local_wrong_hub,4601,0.8411214953271013,0.8239513149315362,18831,0.24433115607243375
Mattress,misshipping,427,0.9039812646370021,0.6604215456674476,18831,0.02267537571026499
Mattress,other_closer,850,0.6682352941176469,0.7164705882352949,18831,0.04513833572300993
Other,aligned,129,0.7984496124031006,0.8062015503875968,237,0.5443037974683544
Other,ghost,11,1.0,1.0,237,0.046413502109704644
Other,local_wrong_hub,53,0.981132075471698,0.9433962264150944,237,0.22362869198312235
Other,misshipping,34,0.8529411764705883,0.4411764705882353,237,0.14345991561181434
Other,other_closer,10,0.8,1.0,237,0.04219409282700422
Outdoor Furniture,aligned,21446,0.8902359414342997,0.818987223724704,54337,0.3946850212562342
Outdoor Furniture,ghost,2719,0.5395365943361534,0.6962118425891867,54337,0.05003956788192208
Outdoor Furniture,local_wrong_hub,22574,0.8721538052626914,0.8896075130681317,54337,0.41544435651581796
Outdoor Furniture,misshipping,732,0.7964480874316943,0.5191256830601094,54337,0.013471483519517088
Outdoor Furniture,other_closer,6866,0.8645499563064373,0.9013981939994167,54337,0.12635957082650864
Outdoor Structures,aligned,6821,0.898108781703563,0.8545667790646544,12737,0.5355264190939781
Outdoor Structures,ghost,87,0.735632183908046,0.7011494252873561,12737,0.006830493836853262
Outdoor Structures,local_wrong_hub,4008,0.8884730538922154,0.8690119760479038,12737,0.3146737850357227
Outdoor Structures,misshipping,142,0.8732394366197183,0.6126760563380282,12737,0.011148622124519118
Outdoor Structures,other_closer,1679,0.8540798094103635,0.8880285884455033,12737,0.13182067990892674
"PG Bedding, Bath & Window",aligned,2973,0.9135553313151707,0.8614194416414405,3408,0.8723591549295775
"PG Bedding, Bath & Window",ghost,17,0.6470588235294119,0.41176470588235287,3408,0.004988262910798122
"PG Bedding, Bath & Window",local_wrong_hub,380,0.7631578947368419,0.8000000000000005,3408,0.11150234741784038
"PG Bedding, Bath & Window",other_closer,38,0.4736842105263158,0.631578947368421,3408,0.011150234741784037
PG Casegoods,aligned,1596,0.8746867167919796,0.7706766917293245,3154,0.5060240963855421
PG Casegoods,ghost,904,0.9723451327433633,0.9491150442477877,3154,0.28662016487000636
PG Casegoods,local_wrong_hub,377,0.9045092838196288,0.8461538461538459,3154,0.11953075459733671
PG Casegoods,misshipping,65,0.8615384615384614,0.7846153846153846,3154,0.02060875079264426
PG Casegoods,other_closer,212,0.9764150943396228,0.9528301886792452,3154,0.06721623335447051
PG Decor,aligned,2017,0.9186911254338122,0.8423401090728803,3381,0.5965690624075717
PG Decor,ghost,11,0.36363636363636365,0.7272727272727272,3381,0.003253475303164744
PG Decor,local_wrong_hub,1059,0.9338999055712943,0.9055712936732764,3381,0.3132209405501331
PG Decor,misshipping,1,1.0,1.0,3381,0.0002957704821058858
PG Decor,other_closer,293,0.9453924914675768,0.9317406143344714,3381,0.08666075125702455
PG Home Improvement,aligned,3316,0.9086248492159206,0.8211700844390839,4301,0.7709834922111137
PG Home Improvement,ghost,45,0.7999999999999999,0.488888888888889,4301,0.010462683096954197
PG Home Improvement,local_wrong_hub,856,0.9264018691588786,0.8668224299065423,4301,0.19902348291095096
PG Home Improvement,misshipping,21,0.857142857142857,0.6666666666666667,4301,0.004882585445245292
PG Home Improvement,other_closer,63,0.9365079365079364,0.873015873015873,4301,0.014647756335735876
PG Housewares,aligned,2939,0.8656005444028568,0.7897243960530815,3585,0.8198047419804741
PG Housewares,ghost,34,0.47058823529411764,0.9117647058823527,3585,0.009483960948396096
PG Housewares,local_wrong_hub,401,0.8927680798004988,0.8304239401496262,3585,0.11185495118549511
PG Housewares,misshipping,71,0.5211267605633803,0.5915492957746478,3585,0.0198047419804742
PG Housewares,other_closer,140,0.8142857142857144,0.9285714285714284,3585,0.03905160390516039
PG Mattresses,aligned,37,0.9729729729729729,0.8918918918918917,54,0.6851851851851852
PG Mattresses,local_wrong_hub,15,0.7333333333333334,0.8,54,0.2777777777777778
PG Mattresses,other_closer,2,1.0,0.5,54,0.037037037037037035
PG Outdoor,aligned,475,0.8947368421052637,0.8168421052631579,517,0.9187620889748549
PG Outdoor,local_wrong_hub,38,0.8421052631578948,0.8157894736842107,517,0.0735009671179884
PG Outdoor,misshipping,3,1.0,1.0,517,0.005802707930367505
PG Outdoor,other_closer,1,1.0,1.0,517,0.0019342359767891683
PG Rugs,aligned,1605,0.9607476635514011,0.8161993769470409,4178,0.384155098133078
PG Rugs,ghost,5,0.4,0.4,4178,0.0011967448539971278
PG Rugs,local_wrong_hub,2038,0.9474975466143277,0.9052993130520112,4178,0.4877932024892293
PG Rugs,misshipping,6,0.8333333333333334,0.5,4178,0.0014360938247965534
PG Rugs,other_closer,524,0.9236641221374046,0.9064885496183209,4178,0.125418860698899
PG Textiles,aligned,533,0.8911819887429635,0.7973733583489685,544,0.9797794117647058
PG Textiles,local_wrong_hub,10,0.8999999999999999,1.0,544,0.01838235294117647
PG Textiles,other_closer,1,1.0,1.0,544,0.001838235294117647
PG Upholstery - Core,aligned,185,0.7945945945945949,0.6756756756756759,235,0.7872340425531915
PG Upholstery - Core,ghost,1,1.0,0.0,235,0.00425531914893617
PG Upholstery - Core,local_wrong_hub,45,0.6222222222222223,0.6444444444444444,235,0.19148936170212766
PG Upholstery - Core,misshipping,2,0.5,0.0,235,0.00851063829787234
PG Upholstery - Core,other_closer,2,1.0,1.0,235,0.00851063829787234
PG Wall Art,aligned,649,0.8104776579352853,0.7303543913713394,792,0.8194444444444444
PG Wall Art,ghost,8,0.625,0.0,792,0.010101010101010102
PG Wall Art,local_wrong_hub,99,0.8383838383838385,0.8989898989898988,792,0.125
PG Wall Art,other_closer,36,0.861111111111111,0.8888888888888886,792,0.045454545454545456
Pet,aligned,3288,0.9121046228710465,0.8138686131386853,6750,0.4871111111111111
Pet,ghost,76,0.8289473684210527,0.7236842105263157,6750,0.011259259259259259
Pet,local_wrong_hub,2492,0.9514446227929381,0.8868378812199035,6750,0.36918518518518517
Pet,misshipping,196,0.9846938775510202,0.7806122448979594,6750,0.02903703703703704
Pet,other_closer,698,0.9441260744985667,0.9197707736389689,6750,0.1034074074074074
Plumbing,aligned,29082,0.9334983838800647,0.8337115741695905,50411,0.5768978992680169
Plumbing,ghost,853,0.9003516998827664,0.702227432590856,50411,0.01692091011882327
Plumbing,local_wrong_hub,15346,0.9228463443242534,0.8821191189886619,50411,0.30441768661601637
Plumbing,misshipping,692,0.8569364161849717,0.6618497109826587,50411,0.013727162722421693
Plumbing,other_closer,4438,0.9251915277151885,0.8681838666065806,50411,0.08803634127472179
Recreation,aligned,6196,0.9472240154938667,0.83344092963202,8445,0.7336885731201894
Recreation,ghost,136,0.8455882352941178,0.6838235294117649,8445,0.01610420367081113
Recreation,local_wrong_hub,1513,0.8552544613350958,0.8605419695968266,8445,0.17915926583777383
Recreation,misshipping,348,0.9109195402298853,0.8620689655172414,8445,0.04120781527531083
Recreation,other_closer,252,0.8571428571428573,0.8492063492063495,8445,0.02984014209591474
Rugs,aligned,77369,0.8932130439840246,0.8152877767581346,201660,0.38366061687989683
