supplier_id,su_name,sto,is_cushioned,vol,vol_det,vol_direct,vol_local,direct_share,ifr,delivery_rel,det_on_time,det_hits_minus_1,ifr_direct,ifr_local,del_direct,det_on_time_direct,det_m1_direct,cushion,ifr_vs_del_pp,ifr_vs_det_pp
351158,Hermes and Fesius LLC GA 31308,APS Outdoor,1,700.0,695.0,96.0,489.0,0.13714285714285715,0.7714285714285716,0.8628571428571425,0.7401156375513084,0.4896558826558386,0.5937500000000002,0.8323108384458079,0.7916666666666666,0.7708333333333334,0.30208333333333326,1.0,-9.142857142857096,3.1312933877263194
316680,Casa Fine Arts TX 78753,Decor,1,680.0,651.0,68.0,601.0,0.1,0.688235294117647,0.8514705882352941,0.8195838477090157,0.5297213297857393,0.7352941176470587,0.6821963394342762,0.8823529411764705,0.8823529411764707,0.5882352941176467,1.0,-16.323529411764714,-13.134855359136877
25770,Jamie Young Company 331 West Victoria,PG Home Improvement,1,633.0,601.0,100.0,517.0,0.1579778830963665,0.7962085308056874,0.8846761453396522,0.8554697683100703,0.6742147999626666,0.8100000000000002,0.79110251450677,0.8600000000000001,0.9199999999999998,0.7799999999999998,1.0,-8.846761453396478,-5.9261237504382835
247870,GOLD TREE INC. GA 30519,APS,1,593.0,590.0,88.0,458.0,0.14839797639123103,0.6930860033726812,0.9106239460370995,0.7489342017615279,0.49077788468655187,0.5909090909090907,0.7270742358078601,0.9204545454545453,0.9204545454545453,0.6022727272727272,1.0,-21.75379426644183,-5.58481983888467
370331,North American Country Home CA 92336,Decor,1,563.0,540.0,136.0,392.0,0.24156305506216696,0.7779751332149201,0.8774422735346354,0.8986772486772487,0.8411564625850336,0.7794117647058825,0.7780612244897959,0.9117647058823527,0.9852941176470587,0.8970588235294118,2.0,-9.946714031971538,-12.070211546232867
299125,EVE AY CORP CA 91789,Wayfair,1,541.0,528.0,275.0,200.0,0.5083179297597042,0.44547134935305,0.8909426987060998,0.8265056818181817,0.6746969696969697,0.4145454545454547,0.49000000000000016,0.9381818181818182,0.9563636363636365,0.7527272727272728,2.0,-44.547134935304975,-38.10343324651318
147209,New Decor LLC CA(7),APS Home Improvement,1,515.0,508.0,73.0,416.0,0.141747572815534,0.7631067961165042,0.8699029126213591,0.8333916944276197,0.621971532404603,0.945205479452055,0.7187499999999992,0.9041095890410958,0.9452054794520546,0.7945205479452054,1.0,-10.679611650485487,-7.028489831111551
6218,Emissary,Decor,1,450.0,437.0,68.0,370.0,0.1511111111111111,0.6933333333333332,0.866666666666667,0.8093945203785019,0.6068649885583527,0.5882352941176471,0.7162162162162161,0.9117647058823527,0.9117647058823527,0.6470588235294118,1.0,-17.33333333333338,-11.606118704516867
146552,"Ningbo Garden International Co, Ltd. NJ 07305",APS Outdoor,1,435.0,433.0,60.0,364.0,0.13793103448275862,0.4804597701149425,0.8919540229885062,0.8276527167982133,0.4229880973529934,0.3000000000000001,0.5082417582417582,0.9499999999999997,0.9166666666666666,0.4333333333333333,1.0,-41.14942528735637,-34.71929466832708
26508,Paragon Industries CA 92780,Flooring,1,416.0,405.0,47.0,363.0,0.11298076923076923,0.6153846153846152,0.8894230769230766,0.8266367377478485,0.5233819678264123,0.4680851063829788,0.6391184573002753,0.8510638297872339,0.7659574468085103,0.3617021276595743,1.0,-27.403846153846146,-21.125212236323332
62318,Yard Elements CA 92563,Fireplaces & Grills,1,408.0,402.0,78.0,314.0,0.19117647058823528,0.6593137254901966,0.8749999999999997,0.8432677377443993,0.6098963779826979,0.44871794871794873,0.7229299363057331,0.8205128205128205,0.8846153846153842,0.5256410256410254,1.0,-21.568627450980305,-18.395401225420272
404750,"Zhuji Yaliang E-commerce Co., Ltd. CA 91789",APS Soft Home,1,401.0,392.0,55.0,331.0,0.1371571072319202,0.7705735660847878,0.8802992518703237,0.8874930636907327,0.6526912879955609,0.7454545454545455,0.7824773413897278,0.9090909090909091,0.8727272727272726,0.5636363636363635,1.0,-10.972568578553588,-11.69194976059449
249783,BeatiNeon Irvine Warehouse,Lighting,1,356.0,351.0,102.0,241.0,0.28651685393258425,0.6797752808988764,0.8848314606741573,0.8599732832097978,0.45409086072986476,0.6862745098039215,0.6887966804979253,0.9509803921568625,0.9313725490196079,0.303921568627451,1.0,-20.50561797752809,-18.01980023109214
444505,Trimlite LLC WA 98371(2),Hardware,1,338.0,335.0,75.0,256.0,0.22189349112426035,0.7810650887573967,0.9349112426035503,0.9554687499999999,0.9110074626865672,0.666666666666667,0.8164062500000001,0.8933333333333333,0.9199999999999998,0.8400000000000001,2.0,-15.384615384615364,-17.440366124260322
413561,Shinerich International CA 91761(2),Decor,1,326.0,323.0,61.0,244.0,0.18711656441717792,0.5429447852760736,0.8558282208588958,0.6356519311779929,0.3837613561386591,0.4590163934426229,0.5614754098360656,0.8524590163934425,0.8360655737704918,0.4918032786885246,1.0,-31.288343558282218,-9.27071459019193
70578,Solo Rugs GA 30720,PG Rugs,1,321.0,321.0,59.0,250.0,0.1838006230529595,0.5794392523364488,0.9314641744548284,0.9096573208722744,0.542056074766355,0.6271186440677964,0.5680000000000003,0.9322033898305081,0.9322033898305081,0.6271186440677964,1.0,-35.20249221183796,-33.02180685358256
100337,Ningbo Jiangdong Peter International CA 91761(2),APS Outdoor,1,320.0,316.0,40.0,252.0,0.125,0.7281250000000001,0.8812499999999996,0.772101667671288,0.5938818565400842,0.7249999999999999,0.7460317460317462,0.875,0.7999999999999999,0.6,1.0,-15.31249999999995,-4.397666767128783
451425,zhongshanshixuanyudengshiyouxiangongsi CA 91730,APS Home Improvement,1,312.0,303.0,48.0,253.0,0.15384615384615385,0.7980769230769228,0.9326923076923083,0.888127943229105,0.7184935884892839,0.8124999999999999,0.8063241106719364,0.9166666666666669,0.9583333333333334,0.7916666666666666,1.0,-13.461538461538547,-9.005102015218224
96004,willwolfer inc CA 90040,Decor,1,305.0,302.0,41.0,246.0,0.13442622950819672,0.6163934426229507,0.8885245901639345,0.7802455176869648,0.5571393958972702,0.5853658536585367,0.6341463414634145,0.9268292682926828,0.8048780487804879,0.5121951219512196,1.0,-27.213114754098378,-16.38520750640141
58048,Cosiest GA 30122,APS Outdoor,1,283.0,280.0,132.0,96.0,0.4664310954063604,0.7526501766784455,0.8657243816254417,0.8381696428571429,0.5551339285714287,0.7272727272727276,0.8333333333333334,0.8712121212121214,0.8636363636363636,0.5606060606060609,1.0,-11.307420494699628,-8.551946617869744
157933,G&K Home Decor LLC NJ 07424,Decor,1,281.0,275.0,34.0,240.0,0.12099644128113879,0.6975088967971533,0.8540925266903912,0.8225454545454549,0.701909090909091,0.8529411764705882,0.6708333333333337,0.7647058823529411,0.9411764705882353,0.9117647058823528,2.0,-15.658362989323782,-12.503655774830158
211699,AIVITUVIN INC GA 31326(2),APS,1,278.0,278.0,28.0,209.0,0.10071942446043165,0.5863309352517988,0.8633093525179857,0.6798561151079141,0.33093525179856126,0.6428571428571429,0.6028708133971296,0.8928571428571427,0.8928571428571427,0.6071428571428571,1.0,-27.697841726618687,-9.35251798561153
197937,Hamiltion Inc CA 90040,Decor,1,255.0,252.0,53.0,184.0,0.20784313725490197,0.6509803921568627,0.8901960784313723,0.8551155969634229,0.5883799171842653,0.660377358490566,0.6467391304347825,0.962264150943396,0.9245283018867921,0.6415094339622639,1.0,-23.921568627450963,-20.41352048065602
370562,Global Outdoors Group Inc. GA 31322,Grills,1,253.0,251.0,53.0,180.0,0.20948616600790515,0.6324110671936757,0.8774703557312254,0.8776449756529436,0.47835325365205855,0.6792452830188681,0.6222222222222219,0.8113207547169812,0.9056603773584905,0.49056603773584895,1.0,-24.505928853754977,-24.523390845926794
406618,LCCA5,APS Housewares & More,1,232.0,231.0,33.0,181.0,0.14224137931034483,0.6120689655172413,0.8749999999999997,0.9267896008227499,0.6077826409318121,0.6060606060606062,0.5911602209944752,0.9090909090909091,0.9696969696969696,0.5757575757575757,1.0,-26.293103448275833,-31.472063530550855
363942,"Hangzhou Yude Consulting Co., Ltd. CA 92337",Wayfair,1,227.0,225.0,38.0,129.0,0.16740088105726872,0.7841409691629956,0.9207048458149777,0.7311248923341946,0.54671834625323,0.6315789473684209,0.8217054263565893,0.9473684210526315,0.8157894736842106,0.5789473684210527,1.0,-13.65638766519821,5.301607682880094
28327,Loom Decor,"PG Bedding, Bath & Window",1,220.0,217.0,26.0,189.0,0.11818181818181818,0.5045454545454547,0.9272727272727272,0.9221710189452129,0.881281544876015,0.30769230769230765,0.5449735449735452,0.7692307692307693,0.7692307692307693,0.7307692307692307,5.0,-42.27272727272725,-41.76255643997582
454833,W Appliance Co. CA 92545,Appliances,1,200.0,200.0,52.0,138.0,0.26,0.7749999999999997,0.8799999999999997,0.9799999999999998,0.975,0.884615384615384,0.7391304347826085,0.8846153846153842,1.0,1.0,4.0,-10.499999999999998,-20.500000000000007
253297,General Sherman International Inc. GA 31407,APS,1,198.0,197.0,24.0,137.0,0.12121212121212122,0.7121212121212122,0.9191919191919194,0.7977324095001663,0.5047241468746525,0.3333333333333333,0.8248175182481751,0.9166666666666665,0.75,0.33333333333333326,1.0,-20.70707070707073,-8.561119737895417
366830,Manji（Jiaxing）Houseware Co. Ltd CA 91761,Wayfair,1,192.0,178.0,26.0,163.0,0.13541666666666666,0.6510416666666666,0.8906250000000001,0.805961047982142,0.47631249635454526,0.23076923076923078,0.7300613496932514,0.8846153846153845,0.6923076923076925,0.038461538461538464,1.0,-23.95833333333335,-15.491938131547533
46043,CW Furniture,Casegoods,1,187.0,187.0,20.0,163.0,0.10695187165775401,0.7807486631016046,0.9251336898395718,0.8770053475935824,0.818181818181818,0.7000000000000001,0.7852760736196323,1.0,0.9499999999999998,0.8499999999999999,1.0,-14.438502673796716,-9.625668449197777
