supplier_id,su_name,parent_suid,parent_su_name,sto,vol,ifr,delivery_rel,avg_direct_gain,avg_o2d_stated,avg_o2d_actual,avg_mi_actual_to_cust,avg_mi_assigned_to_cust,pct_constrained,top_assigned_hub,top_actual_hub,pct_of_corridor
415592,shenzhenheimaokejiyouxiangongsi AL 91764,321015,shenzhenheimaokejiyouxiangongsi,APS Upholstery,1,1.0,0.0,0.9860444556706239,7.0,8.0,22.1,1583.6,1.0,CHINO LOCAL,North Kansas City Ncpc,2.0784835384103757e-05
413780,FTL Lighting Inc CA 91761,103228,FTL Lighting Inc,Lighting,1,1.0,1.0,0.9400201392233265,11.0,9.0,137.0,2284.1,1.0,CHINO LOCAL,Columbus,2.0784835384103757e-05
413807,Zhengzhou A Mazhuo Wangluo Keji CA 91761(5),104525,Zhengzhou A Mazhuo Wangluo Keji Youxian Gongsi,APS Upholstery,1,1.0,1.0,0.9762818924944265,12.0,10.0,38.3,1614.8,1.0,CHINO LOCAL,North Kansas City Ncpc,2.0784835384103757e-05
416427,BOXING INC CA 90220,268391,BOXING INC,Casegoods,1,1.0,1.0,0.9860605430146676,14.0,7.0,26.8,1922.6,1.0,CARSON,New Brighton Ncpc,2.0784835384103757e-05
416437,"Chongqing Rongwanda Trading Co., Ltd CA 91761",403150,"Chongqing Rongwanda Trading Co., Ltd",APS Housewares & More,1,1.0,0.0,0.9850327903532896,7.0,8.0,28.3,1890.8,1.0,CHINO LOCAL,Maple Grove,2.0784835384103757e-05
425102,RBROHANT INC CA 92336,65035,RBROHANT INC,APS Home Improvement,1,1.0,1.0,0.9921618852459017,14.0,8.0,15.3,1952.0,1.0,WEST RIALTO,Romeoville Ncpc,2.0784835384103757e-05
416652,Vanity Stars & Sparkle Inc. CA 91731,225189,Vanity Stars & Sparkle Inc.,Casegoods,1,1.0,1.0,0.9290085679314566,13.0,6.0,145.0,2042.5,1.0,ARCADIA,Northern Kentucky,2.0784835384103757e-05
416674,Vanity Stars & Sparkle Inc. CA 91730,225189,Vanity Stars & Sparkle Inc.,Casegoods,1,1.0,1.0,0.9356332785040257,8.0,6.0,148.7,2310.2,1.0,WEST RIALTO,West Columbus,2.0784835384103757e-05
416680,Dapper Doodles Inc GA 31407,255127,Dapper Doodles Inc,Upholstery,1,1.0,1.0,0.9598207465498803,11.0,5.0,78.9,1963.7,1.0,CHINO LOCAL,Greenwood,2.0784835384103757e-05
416730,"Boai County Xingfan Trading Co., Ltd CA 90670",337916,"Boai County Xingfan Trading Co., Ltd",APS Housewares & More,1,0.0,0.0,0.8648060723872999,10.0,15.0,292.1,2160.6,1.0,SANTA FE SPRINGS,Chicago,2.0784835384103757e-05
416746,"Boai County Xingfan Trading Co., Ltd CA 91731",337916,"Boai County Xingfan Trading Co., Ltd",APS Housewares & More,1,0.0,1.0,0.9817945986010098,8.0,8.0,39.3,2158.7,1.0,ARCADIA,Northern Kentucky,2.0784835384103757e-05
