lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,498295,Glass Warehouse NC 28401,24123,Glass Warehouse,"CA,NC",2,Plumbing,Madison MacDowell,NC,Wilmington,28401,3940 US Hwy 421 N,WILMINGTON,NC,28405,531,3,38,0.07156308851224105,0,0.0,0,0.0,2,0.003766478342749529,36,0.06779661016949153,0,0.0,0,0.0,,,1,165,Greensboro (NC) 31%,0,,21,0.03954802259887006,174,9,174,336,0.6588235294117647,0.09718432376847636,772.8143999999998,730.9463414634148,117.86994106090373,0.9868173258003762,0.8286252354048961,1.0,0.7105263157894735,,,,,1.0,1.0,1.0,0.6944444444444443,,,38,True,ghost_warehouses
msbd_2w,msbd_su,2,217595, WYD-GAJW03,199602,NINGBO RUISEN DIANZIKEJI YOUXIANGONGSI,"CA,GA,IL,NJ,SC,TX",6,APS Bedroom,Lydia Liu,GA,ATLANTA,30336,2075 MAPLE AVE,AUSTELL,GA,30168,522,3,169,0.32375478927203066,0,0.0,4,0.007662835249042145,5,0.009578544061302681,160,0.3065134099616858,0,0.0,0,0.0,,,1,244,Olive Branch (MS) 47%,0,,33,0.06321839080459771,486,254,254,235,0.48057259713701433,-2.918880020001506e-05,562.6349397590366,591.5557446808515,235.38683127571994,0.9827586206896556,0.7796934865900383,1.0,0.7751479289940829,,,1.0,1.0,1.0,0.6,1.0,0.7749999999999997,,,169,True,ghost_warehouses
msbd_2w,msbd_su,2,333730,Ether Tech Inc TX 75044,333142,Ether Tech Inc,TX,1,Wayfair,Asia Supplier Service Desk,TX,Garland,75044,2921 Oak Point Dr,MESQUITE,TX,75149,520,3,285,0.5480769230769231,0,0.0,0,0.0,2,0.0038461538461538464,283,0.5442307692307692,0,0.0,0,0.0,,,2,351,Fairless Hills (PA) 46%; Diamond Bar Rsf (CA) 21%,0,,29,0.05576923076923077,487,352,352,139,0.2830957230142566,0.43849003522131885,945.7638009049774,588.7829039812644,1068.770661157023,0.8288461538461541,0.7134615384615385,0.9684210526315791,0.8631578947368422,,,,,0.5,0.5,0.9717314487632513,0.8657243816254414,,,285,True,ghost_warehouses
msbd_2w,msbd_su,2,62366,Best Choice Products IN 46231,60257,Best Choice Products,"GA,IN",2,Decor,Shannon Hoar,IN,Indianapolis,46231,3374 Plainfield Rd,NORTH  INDIANAPOLIS,IN,46077,474,3,112,0.23628691983122363,0,0.0,1,0.002109704641350211,0,0.0,58,0.12236286919831224,53,0.11181434599156118,0,0.0,,,1,73,Rialto (CA) 15%,2,Savannah (GA) 9%; Atlanta (GA) 2%,8,0.016877637130801686,461,223,223,243,0.5214592274678111,0.18525272394188833,994.3733974358972,830.4638629283489,583.6926247288502,0.9071729957805909,0.5063291139240501,0.982142857142857,0.5982142857142856,,,0.0,1.0,,,0.9827586206896551,0.6551724137931033,1.0,0.5283018867924527,112,True,ghost_warehouses
msbd_2w,msbd_su,2,317826,Shenzhenshi Daman Shiye Youxiangongsi PA 18064,76761,Shenzhenshi Daman Shiye Youxiangongsi,"CA,GA,NJ,PA,TX",5,APS K&D,Stella Yin,PA,Nazareth,18064 ,3363 Gun Club Rd,LEHIGH VALLEY LOCAL,PA,18067,452,3,42,0.09292035398230089,0,0.0,2,0.004424778761061947,4,0.008849557522123894,36,0.07964601769911504,0,0.0,0,0.0,,,1,85,Greensboro (NC) 19%,0,,33,0.07300884955752213,412,165,105,314,0.7494033412887828,0.1745832691744228,538.887671232877,558.8082437275986,203.68252427184464,0.8650442477876101,0.75,0.6904761904761902,0.5476190476190474,,,1.0,1.0,1.0,0.5,0.6388888888888888,0.5277777777777779,,,42,True,ghost_warehouses
msbd_2w,msbd_su,2,292505,"FUFU and GAGA Trade Co., Ltd. GA 30294",63305,"FUFU and GAGA Trade Co., Ltd.","CA,GA,NJ,TX",4,APS Bedroom,Christal Ding,GA, Braselton,30517,900 HIGHWAY 124,BRASELTON,GA,30517,451,3,82,0.18181818181818182,19,0.04212860310421286,1,0.0022172949002217295,27,0.0598669623059867,34,0.07538802660753881,1,0.0022172949002217295,3,1.0,2026-08-02: 12; 2026-08-09: 4; 2026-08-16: 3,South Atlanta Ncpc (GA) 4%,1,48,Olive Branch (MS) 11%,1,Metuchen (NJ) 0%,10,0.022172949002217297,412,111,111,330,0.7482993197278912,0.1699347745612416,607.3910194174758,567.4125000000001,233.12118451025052,0.7738359201773832,0.6319290465631925,0.6463414634146343,0.7073170731707319,1.0,0.7368421052631579,1.0,0.0,0.8518518518518517,0.4814814814814815,0.2647058823529412,0.8823529411764703,1.0,1.0,82,True,ghost_warehouses
msbd_2w,msbd_su,2,216056,FZY NJ 08505,100316,SHEN ZHEN SHI FANG ZE YUAN KE JI YOU XIAN GONG SI,"CA,NJ",2,Casegoods,Asia Supplier Service Desk,NJ,Bordentown,08505,3280 US 206,ROBBINSVILLE,NJ,8691,440,3,130,0.29545454545454547,4,0.00909090909090909,1,0.0022727272727272726,12,0.02727272727272727,113,0.25681818181818183,0,0.0,1,0.3333333333333333,2026-08-02: 4,Etna Rsf (OH) 1%,1,118,Greensboro (NC) 27%,0,,6,0.013636363636363636,410,379,160,274,0.631336405529954,0.46151005299404557,936.2147058823525,705.9785714285712,186.26504629629642,0.959090909090909,0.7477272727272726,0.8923076923076921,0.6538461538461537,1.0,1.0,1.0,1.0,1.0,0.75,0.8761061946902654,0.6283185840707964,,,130,True,ghost_warehouses
msbd_2w,msbd_su,2,58219,"VM MP, LLC GA 31308",47495,Spreetail,"GA,IN,NE,NV,PA,TX,WA",7,Storage & Org - Frequency,Claire Przybocki,GA,Ellabell,31308,1119 Interstate Center BLVD,SAVANNAH LOCAL,GA,31408,424,3,102,0.24056603773584906,0,0.0,5,0.01179245283018868,5,0.01179245283018868,79,0.18632075471698112,13,0.030660377358490566,0,0.0,,,2,247,Ocala (FL) 38%; Atlanta (GA) 21%,5,Scranton (PA) 1%; Greenwood (IN) 1%; Dallas (TX) 0%; North Las Vegas Rsf (NV) 0%; Olympia (WA) 0%,2,0.0047169811320754715,403,252,330,92,0.21800947867298578,0.38866023728050075,416.1424,246.8957186544343,259.31889168765747,0.9858490566037739,0.7759433962264154,0.9607843137254902,0.8235294117647058,,,1.0,1.0,0.4,0.8,1.0,0.810126582278481,0.923076923076923,0.8461538461538461,102,True,ghost_warehouses
msbd_2w,msbd_su,2,296463,Woow Depot Inc. GA 31326,80763,Woow Depot Inc.,"CA,GA,NJ",3,APS K&D,Hannah Guan,GA,Rincon,31326,1600 General way,SAVANNAH LOCAL,GA,31408,415,3,46,0.1108433734939759,0,0.0,3,0.007228915662650603,3,0.007228915662650603,35,0.08433734939759036,5,0.012048192771084338,0,0.0,,,1,44,Davenport (FL) 11%,1,Chino (CA) 1%,26,0.06265060240963856,388,65,65,324,0.8329048843187661,0.0003817654292356965,802.1978260869565,774.4284210526317,105.6782383419689,0.8626506024096381,0.6650602409638555,0.4347826086956523,0.41304347826086957,,,1.0,1.0,1.0,0.33333333333333337,0.2571428571428572,0.2857142857142857,1.0,1.0,46,True,ghost_warehouses
msbd_2w,msbd_su,2,12395,Ashley Furniture CA 92324,2022,Ashley Furniture,"CA,MS,NC,PA,TX,WI",6,Upholstery,Anne Marie Conde,CA,Redlands,92374,2250 W Lugonia Ave,WEST RIALTO,CA,92316,414,3,116,0.28019323671497587,10,0.024154589371980676,3,0.007246376811594203,14,0.033816425120772944,89,0.21497584541062803,0,0.0,2,0.6666666666666666,2026-08-02: 8; 2026-08-09: 2,Stockton Rsf (CA) 2%,1,128,Tracy (CA) 31%,0,,14,0.033816425120772944,312,15,165,235,0.5875,0.49775479448592114,614.0516216216218,504.04986376021816,227.11218274111684,0.7584541062801925,0.7439613526570048,0.44827586206896564,0.870689655172414,0.10000000000000002,1.0,1.0,1.0,0.4285714285714286,0.7142857142857143,0.47191011235955066,0.8764044943820223,,,116,True,ghost_warehouses
