dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Mid-Atlantic,Decor,1130,2862,7.711471238938051,7.154122289130249,0.5573489498078024,0.9044247787610616,0.9189378057302585,0.88141592920354,0.8099231306778475,0.8469026548672565,0.79979035639413
Mid-Atlantic,Lighting,1482,3558,7.566126855600541,6.801735724613454,0.7643911309870868,0.8852901484480432,0.9142776840921865,0.8616734143049928,0.807195053400787,0.7928475033738188,0.7768409218662169
Mid-Atlantic,Outdoor Furniture,1587,2875,7.365427041346672,7.899909061352468,-0.5344820200057958,0.8588531821045998,0.8598260869565214,0.8311279143037177,0.7526956521739131,0.8059231253938247,0.7161739130434782
Mid-Atlantic,Plumbing,686,1637,7.77584445971291,7.221909710991571,0.5539347487213391,0.922740524781341,0.9444105070250458,0.8906705539358599,0.8546120952962737,0.8294460641399417,0.8540012217470984
Mid-Atlantic,Soft Home,1135,3197,7.536563876651982,7.000517706526962,0.5360461701250205,0.9171806167400881,0.9146074444791993,0.8775330396475767,0.791992492962152,0.8193832599118943,0.7447607131685956
Mid-Atlantic,Storage & Org - Frequency,631,1572,7.608557844690966,7.207668038535551,0.4008898061554156,0.8938193343898574,0.8829516539440203,0.8637083993660856,0.7938931297709922,0.8209191759112519,0.7410941475826972
Mid-Atlantic,Tabletop,606,1643,7.401910383346029,6.802661993534948,0.5992483898110805,0.8778877887788779,0.8782714546561167,0.8399339933993397,0.796713329275715,0.8052805280528053,0.7772367620206938
Mid-Atlantic,Upholstery,1436,2957,7.7855153203342615,7.172111785815093,0.6134035345191684,0.8502785515320331,0.8931349340547853,0.8746518105849578,0.814338856949611,0.7701949860724232,0.7757862698681096
Mid-Atlantic,Wayfair,1526,3901,7.703834544660232,7.384761526045823,0.31907301861440907,0.8958060288335518,0.9010510125608818,0.8787680209698558,0.8074852601896949,0.875491480996068,0.7987695462701869
Mid-Atlantic,Youth Furniture & Decor,467,1249,7.220556745182013,6.723087492550431,0.49746925263158204,0.9079229122055673,0.8759007205764612,0.8308351177730193,0.766212970376301,0.7751605995717347,0.7141713370696557
Midwest,APS,11838,40099,7.70109146872472,7.043844586708649,0.6572468820160715,0.8466801824632539,0.8985760243397592,0.8547896604156111,0.807676001895309,0.7785098834262547,0.7696950048629639
Midwest,APS AEOF,1216,5641,7.208059210526314,6.777608376460738,0.43045083406557616,0.8930921052631575,0.9014359156177982,0.8585526315789478,0.7975536252437511,0.8791118421052632,0.7831944690657685
Midwest,APS Bedroom,1795,6111,7.1821727019498605,6.7235340921475055,0.45863860980235494,0.9220055710306403,0.886925216822124,0.8601671309192201,0.7926689576174112,0.8551532033426184,0.778268695794469
Midwest,APS Decor,1304,3435,7.243865030674846,7.031312158864456,0.21255287181039062,0.8903374233128835,0.8806404657933039,0.8826687116564421,0.7973799126637552,0.8941717791411042,0.7973799126637554
Midwest,APS Home Improvement,5176,19920,7.271649462196698,6.807546703583083,0.46410275861361505,0.9022411128284394,0.8918674698795183,0.8721020092735703,0.8110441767068266,0.8475656877897991,0.7934738955823293
Midwest,APS Housewares & More,1368,5148,7.545321637426902,7.2975777473567325,0.2477438900701694,0.9152046783625729,0.9193861693861693,0.8786549707602341,0.8158508158508159,0.8859649122807016,0.8137140637140637
Midwest,APS K&D,1396,5372,7.172636103151864,6.6801858054147605,0.49245029773710325,0.8997134670487099,0.9141846612062546,0.8230659025787962,0.7909530900967983,0.8323782234957019,0.7889054355919581
Midwest,APS Mattresses,824,3667,7.234223300970875,6.6218620947429345,0.6123612062279404,0.875,0.8693755113171528,0.8483009708737864,0.7747477502045269,0.8216019417475728,0.7712026179438232
Midwest,APS Outdoor,6697,16909,7.169470799753014,6.66295948957926,0.506511310173754,0.8966701508137975,0.9215802235495891,0.8630730177691507,0.8195635460405701,0.8054352695236671,0.7865042285173575
Midwest,APS Rugs,768,2542,7.749999999999999,7.050993879955266,0.6990061200447331,0.8906249999999997,0.8859166011014948,0.868489583333333,0.8029110936270651,0.9153645833333331,0.8151062155782848
Midwest,APS SEA,443,1536,7.688487584650115,6.8177112924024135,0.8707762922477018,0.9277652370203159,0.934895833333333,0.8623024830699773,0.8131510416666666,0.8442437923250562,0.8046875
Midwest,APS Soft Home,472,2517,7.790254237288137,7.365605342283027,0.4246488950051095,0.7203389830508472,0.8728645212554629,0.8686440677966101,0.8005562177195072,0.9110169491525424,0.7949940405244339
Midwest,APS Upholstery,2385,9080,7.4825995807127885,7.004606731758909,0.47799284895387917,0.9010482180293499,0.9023127753303961,0.8570230607966455,0.8205947136563876,0.8218029350104821,0.7674008810572689
Midwest,APS Youth,1922,5899,7.355359001040583,6.902181824921341,0.453177176119242,0.8600416233090532,0.8567553822681809,0.8839750260145682,0.7760637396168842,0.8808532778355878,0.773859976267164
Midwest,Casegoods,2564,9399,7.521350905984293,6.954014521252088,0.5673363847322053,0.8775351014040558,0.8813703585487818,0.8225429017160685,0.7834876050643685,0.8085023400936034,0.7863602510905414
