supplier_id,su_name,parent_suid,parent_su_name,sto,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,gain_july4,top_actual_hub_july4,vol_baseline,ifr_baseline,delivery_rel_baseline,o2d_stated_baseline,o2d_actual_baseline,gain_baseline,top_actual_hub_baseline,o2d_gap_july4,o2d_gap_baseline,ifr_delta,del_delta,o2d_actual_delta,o2d_stated_delta
433182,NUU GARDEN CORPORATION CA 91730,39276,NUU GARDEN CORPORATION,APS Outdoor,10,1.0,1.0,16.9,8.8,0.9546653491233862,Greenwood,125.0,0.584,0.848,18.976,8.872,0.9614943574455506,Chicago,-8.099999999999998,-10.104,0.41600000000000004,0.15200000000000002,-0.07199999999999918,-2.0760000000000005
408999,"Freestyle Outdoor Living Co., Ltd CA 91761 (4)",57760,Orange Casual Co Ltd_1,APS Outdoor,7,1.0,1.0,9.857142857142858,7.142857142857143,0.9198423974911174,Romeoville Rsf,157.0,1.0,0.9299363057324841,15.242038216560509,8.184713375796179,0.9609185976311589,Romeoville Rsf,-2.7142857142857144,-7.0573248407643305,0.0,0.07006369426751591,-1.0418562329390353,-5.384895359417651
25980,California Umbrella CA,716,California Umbrella,Outdoor Furniture,6,1.0,1.0,17.833333333333332,8.666666666666666,0.9710450235899541,Romeoville Rsf,301.0,0.9933554817275747,0.8239202657807309,16.84717607973422,11.866002214839424,0.96853938640213,Chicago,-9.166666666666666,-4.981173864894794,0.006644518272425293,0.17607973421926915,-3.1993355481727583,0.9861572535991137
375337,"ZHENGZHOU OUQUN TRADE CO.,LTD CA 92316",284759,"ZHENGZHOU OUQUN TRADE CO.,LTD",APS Pet,4,1.0,1.0,9.25,5.25,0.5626772416010881,Fairless Hills,17.0,0.8823529411764706,1.0,9.0,6.823529411764706,0.9422747833543994,Toledo,-4.0,-2.1764705882352944,0.11764705882352944,0.0,-1.5735294117647056,0.25
148929,"Grove NA, INC. dba Chicology CA",10851,"Grove NA, INC. dba Chicology",Soft Home,3,1.0,1.0,12.0,5.666666666666667,0.9496823969504061,Niles,76.0,0.8026315789473685,0.9078947368421053,9.289473684210526,8.236842105263158,0.9169703500177767,Niles,-6.333333333333333,-1.0526315789473681,0.19736842105263153,0.09210526315789469,-2.5701754385964906,2.7105263157894743
288856,Tradeber E-marketing Inc CA 92337,239639,Tradeber E-marketing Inc,Upholstery,3,0.6666666666666666,1.0,7.0,4.666666666666667,0.8470771316381266,Carol Stream,12.0,0.9166666666666666,0.9166666666666666,6.25,3.25,0.8886835210028526,Mccook,-2.333333333333333,-3.0,-0.25,0.08333333333333337,1.416666666666667,0.75
295613,Shenzhen Oumeifeng Fashion Design CA 91752,108440,"Shenzhen Oumeifeng Fashion Design Co., Ltd.",APS,3,1.0,1.0,6.666666666666667,3.6666666666666665,0.7589362211000656,Fairless Hills,19.0,0.7894736842105263,0.8421052631578947,5.684210526315789,4.7368421052631575,0.7459271240988341,Fairless Hills,-3.0000000000000004,-0.9473684210526319,0.21052631578947367,0.1578947368421053,-1.070175438596491,0.9824561403508776
182959,Brightech Inc. CA,63240,Brightech Inc.,Lighting,3,0.6666666666666666,1.0,7.666666666666667,3.0,0.6736718502540625,Lehigh Valley,234.0,0.9401709401709402,0.8760683760683761,6.944444444444445,6.269230769230769,0.9626966922714852,Chicago,-4.666666666666667,-0.6752136752136755,-0.27350427350427353,0.12393162393162394,-3.269230769230769,0.7222222222222223
354420,"GigaCloud Trading, Inc. CA 92337 (5) ",3215,"GigaCloud Trading, Inc.",Outdoor Furniture,3,0.3333333333333333,1.0,8.666666666666666,4.666666666666667,0.7430681186452256,Greensboro,33.0,0.45454545454545453,0.8484848484848485,9.181818181818182,7.515151515151516,0.9669744447133393,Chicago,-3.999999999999999,-1.666666666666666,-0.12121212121212122,0.1515151515151515,-2.8484848484848486,-0.5151515151515156
109665,Peakhome Furnishings Inc CA 92337,60739,Peakhome Furnishings Inc,APS Outdoor,2,1.0,1.0,11.0,6.0,0.6689465138020961,Fairless Hills,39.0,0.9487179487179487,0.8717948717948718,8.564102564102564,6.256410256410256,0.9508193587149975,Romeoville Rsf,-5.0,-2.3076923076923075,0.05128205128205132,0.1282051282051282,-0.2564102564102564,2.435897435897436
