supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
364920,BELOSD LTD CA 91761,277336,BELOSD LTD,Upholstery,5.0,0.8,1.0,12.2,9.8,-2.3999999999999986,0.9889571709063223,23.1,Cleveland,,,,,,,,,,,,,,,,,,,,,,False,False
365044,dongguanshishuihejiajuyongpinyouxiangongsi CA  92571,361432,dongguanshishuihejiajuyongpinyouxiangongsi,Wayfair,5.0,1.0,1.0,9.2,6.2,-2.999999999999999,0.9540981473319559,73.34,Niles,,,,,,,,,,,,,,,,,,,,,,False,False
365185,Central Power International Limited LLC CA 92410,348962,Central Power International Limited LLC,APS K&D,5.0,0.6,0.6,8.2,6.4,-1.799999999999999,0.9463754150717504,111.94000000000001,Fort Wayne,,,,,,,,,,,,,,,,,,,,,,False,False
366830,Manji（Jiaxing）Houseware Co. Ltd CA 91761,364573,Manji（Jiaxing）Houseware Co. Ltd,Wayfair,5.0,0.8,1.0,8.6,7.0,-1.5999999999999996,0.9422292406099209,127.5,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
360257,Vicks ByteFrame Innovations LLC CA 92509,360254,Vicks ByteFrame Innovations LLC,Wayfair,5.0,1.0,1.0,16.2,7.2,-9.0,0.9701308376096325,61.279999999999994,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
448759,Cahoon Wholesale 9SB LLC CA 92509,447154,Cahoon Wholesale 9SB LLC,Wayfair,5.0,1.0,1.0,15.2,8.4,-6.799999999999999,0.9795366519944633,47.1,North Cincinnati,,,,,,,,,,,,,,,,,,,,,,False,False
446913,"Shenzhen Nova Technology Co., Ltd. CA 91710",333046,"Shenzhen Nova Technology Co., Ltd.",APS Decor,5.0,1.0,0.8,8.4,8.0,-0.40000000000000036,0.9598626419147294,81.84,South Dayton,,,,,,,,,,,,,,,,,,,,,,False,False
308189,Zhejiang Anji Yanghao Network Technology CA 91752,133824,"Zhejiang Anji Yanghao Network Technology Co., Ltd.",APS K&D,5.0,1.0,0.8,8.6,7.0,-1.5999999999999996,0.9739800687504815,55.92,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
306897,Morandi Grey Inc CA 95826 ,108080,Morandi Grey Inc,APS Home Improvement,5.0,1.0,0.8,7.6,7.2,-0.39999999999999947,0.9871195869807649,25.98,Chicago Loop,,,,,,,,,,,,,,,,,,,,,,False,False
307387,Golden Bull Marketing CA 91752,35624,"Golden Bull Marketing, LLC",Outdoor Structures,5.0,0.0,0.4,10.0,11.2,1.1999999999999993,0.9509668755920455,103.66,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
279521,AlpineFurniture CA 90670 (2),3786,AlpineFurniture,Casegoods,5.0,1.0,1.0,8.2,7.8,-0.39999999999999947,0.9716897667649457,59.04,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
334019,"Zhejiang Huaaokang Furniture Co.,Ltd CA 92337",265603,"Hangzhou Vickks Furniture,Ltd",APS Outdoor,5.0,1.0,1.0,8.4,7.2,-1.2000000000000002,0.9819983748883381,34.760000000000005,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
282129,HT Window Fashions Inc. CA,70236,HT Window Fashions Inc.,Soft Home,5.0,0.6,0.8,11.6,11.4,-0.1999999999999993,0.9688029384755884,71.02000000000001,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
285518,Man Xin Liu (Hangzhou) Cross Border E CA 91761,156906,Man Xin Liu (Hangzhou) Cross Border E-commerce LTD,APS Youth,5.0,1.0,1.0,9.2,6.6,-2.5999999999999996,0.9629909430663772,68.96,Chicago Loop,,,,,,,,,,,,,,,,,,,,,,False,False
