origin_region,dest_state,vol,suppliers,pct_of_directs
Mountain,LA,53,24,9.113716831659332e-05
Midwest,IA,51,27,8.769802988955207e-05
Mountain,DE,51,24,8.769802988955207e-05
Mid-Atlantic,AR,51,40,8.769802988955207e-05
Florida,OK,49,21,8.425889146251082e-05
Florida,ID,49,27,8.425889146251082e-05
Mid-Atlantic,MS,49,34,8.425889146251082e-05
Mid-Atlantic,MN,48,34,8.253932224899018e-05
Mid-Atlantic,NM,47,42,8.081975303546955e-05
Mid-Atlantic,OK,45,36,7.73806146084283e-05
Mountain,ID,45,24,7.73806146084283e-05
Northeast,DC,45,22,7.73806146084283e-05
Mountain,MT,44,23,7.566104539490767e-05
Florida,MS,41,27,7.050233775434578e-05
Florida,KS,41,25,7.050233775434578e-05
Mountain,AL,39,18,6.706319932730452e-05
Mountain,DC,39,19,6.706319932730452e-05
South Central,SD,39,34,6.706319932730452e-05
Midwest,WY,38,30,6.534363011378389e-05
Florida,NM,33,20,5.674578404618075e-05
Mid-Atlantic,IA,32,20,5.502621483266012e-05
Mountain,KS,32,19,5.502621483266012e-05
South Central,ND,31,26,5.330664561913949e-05
Florida,FL,31,19,5.330664561913949e-05
South Central,WY,30,23,5.1587076405618864e-05
Mid-Atlantic,MT,30,19,5.1587076405618864e-05
Mountain,OK,27,20,4.642836876505698e-05
Mid-Atlantic,KS,24,20,4.126966112449509e-05
Mountain,NM,22,15,3.783052269745384e-05
Florida,IA,22,12,3.783052269745384e-05
Florida,WV,22,15,3.783052269745384e-05
Mountain,AR,21,14,3.6110953483933204e-05
Mid-Atlantic,,21,19,3.6110953483933204e-05
Mountain,MS,21,15,3.6110953483933204e-05
Mountain,,20,12,3.439138427041258e-05
Mountain,NE,19,13,3.2671815056891946e-05
Mountain,WV,16,10,2.751310741633006e-05
Florida,NE,15,11,2.5793538202809432e-05
Mountain,IA,15,8,2.5793538202809432e-05
Mountain,WY,13,9,2.2354399775768174e-05
Florida,,13,9,2.2354399775768174e-05
Mid-Atlantic,PA,13,6,2.2354399775768174e-05
Mountain,SD,9,8,1.547612292168566e-05
Southeast,AK,9,9,1.547612292168566e-05
Mid-Atlantic,NE,9,8,1.547612292168566e-05
Florida,MT,8,3,1.375655370816503e-05
Northeast,AK,8,8,1.375655370816503e-05
Florida,WY,8,6,1.375655370816503e-05
Mid-Atlantic,WY,7,6,1.2036984494644401e-05
Mid-Atlantic,ND,5,5,8.597846067603145e-06
Florida,ND,5,4,8.597846067603145e-06
South Central,AK,4,4,6.878276854082515e-06
Midwest,AK,4,4,6.878276854082515e-06
Mid-Atlantic,SD,3,3,5.158707640561886e-06
Mountain,AK,3,3,5.158707640561886e-06
Florida,SD,2,1,3.4391384270412577e-06
Mid-Atlantic,WV,2,2,3.4391384270412577e-06
Mid-Atlantic,AK,1,1,1.7195692135206288e-06
Mountain,ND,1,1,1.7195692135206288e-06
