msbd_week,path,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,o2d_gap,pct_meet_beat_stated,pct_o2d_le5,avg_mi_actual_to_cust,suppliers
2026-06-21,local,144861.0,0.9080497856565949,0.8494418787665418,6.895938947321151,6.036467410821719,-0.8594715364994325,0.8494280724280517,0.4576456050973002,1407.9181132049014,7723.0
2026-06-28,direct,659.0,0.7647951441578149,0.8846737481031867,9.547799696509863,5.811550151975684,-3.7362495445341786,0.8846737481031867,0.5614567526555387,374.4335356600911,305.0
2026-06-28,local,134219.0,0.8655629977871986,0.8780053494661709,7.41061311259035,6.259617830084135,-1.1509952825062149,0.8780053494661709,0.4202460158397842,1399.8574694870579,7343.0
2026-07-05,direct,885.0,0.7887005649717514,0.8824858757062147,9.224858757062147,5.3480725623582765,-3.876786194703871,0.8824858757062147,0.6757062146892655,376.4727683615819,431.0
2026-07-05,local,202191.0,0.8870473957792384,0.8468972407278267,7.047370192801475,6.198066010231064,-0.8493041825704113,0.8468873490907113,0.4450742120074583,1396.5127722598243,8726.0
2026-07-12,direct,604.0,0.847682119205298,0.9072847682119205,8.35430463576159,4.673841059602649,-3.6804635761589406,0.9072847682119205,0.7615894039735099,383.0764900662251,319.0
2026-07-12,local,149124.0,0.9086599071913307,0.8636705024006867,6.741602815006333,5.9413939559303435,-0.8002088590759895,0.8636705024006867,0.4725262197902417,1389.3169056602653,8264.0
2026-07-19,direct,645.0,0.7968992248062016,0.8930232558139535,7.725155279503106,4.428348909657321,-3.2968063698457852,0.8930232558139535,0.8,437.9513178294573,337.0
2026-07-19,local,156977.0,0.9081648903979563,0.8588200819228294,6.702747127773133,5.850887646029055,-0.8518594817440777,0.8588073412028514,0.4853322461252285,1409.935786429907,8258.0
2026-07-26,direct,1078.0,0.8014842300556586,0.9090909090909091,6.8472998137802605,4.381395348837209,-2.4659044649430513,0.9090909090909091,0.8293135435992579,409.056586270872,515.0
2026-07-26,local,213970.0,0.8795391877365986,0.8519605552180212,6.7034317458242,5.866256687029498,-0.8371750587947018,0.8519605552180212,0.47872598962471374,1402.6054278258284,8936.0
2026-08-02,direct,797.0,0.8042659974905897,0.8895859473023839,6.343001261034048,4.0753246753246755,-2.2676765857093724,0.8895859473023839,0.8255959849435383,421.33350062735263,441.0
2026-08-02,local,159471.0,0.9045406374826771,0.7521869179976297,6.612842475201046,5.415193876110475,-1.197648599090571,0.7521743765324103,0.49047789253218455,1393.4773042954719,8399.0
2026-08-09,direct,364.0,0.9395604395604396,0.29395604395604397,5.980662983425415,3.1944444444444446,-2.78621853898097,0.29395604395604397,0.2967032967032967,363.9041208791208,208.0
2026-08-09,local,90844.0,0.8524833780987187,0.1519307824402272,6.674934730023054,3.3576681926995953,-3.3172665373234587,0.1519307824402272,0.14317951653383823,1376.5480452129204,6753.0
