supplier_id,su_name,parent_suid,parent_su_name,sto,own_state,total_vol,misshipping_vol,ghost_vol,other_closer_vol,other_farther_vol,local_wrong_hub_vol,aligned_vol,pct_misshipping,pct_ghost,pct_other_closer,pct_other_farther
31503,"Top Knobs, Inc. CA 90065",19191,"Top Knobs, Inc.",Hardware,CA,1274,799,4,65,0,377,29,0.6271585557299842,0.0031397174254317113,0.05102040816326531,0.0
432907,SmartStandard GA 30349,49538,NORTH ELM ARTISAN LLC_1,APS Home Improvement,GA,1699,4,798,642,0,203,52,0.002354326074161271,0.46968805179517364,0.37786933490288405,0.0
281350,Shen Zhen Shi Qi Wen Shang Mao You Xian Gong Si NJ 07064,281340,Qwtech Limited_2,Wayfair,NJ,826,746,0,0,0,0,80,0.9031476997578692,0.0,0.0,0.0
36423,NFusion GA 31407,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,GA,3207,7,708,838,0,1545,109,0.002182725288431556,0.2207670720299345,0.261303398815092,0.0
410177,NW Investment Inc PA 19114,64824,NW Investment Inc,APS Decor,PA,4185,649,6,279,0,3052,199,0.15507765830346476,0.0014336917562724014,0.06666666666666667,0.0
255050,JOYIN US CORP. CA 91730,49117,JOYIN US CORP.,APS Decor,CA,2308,0,572,1128,0,1,607,0.0,0.24783362218370883,0.48873483535528595,0.0
370339,"Shenzhen Litian Technology Co., Ltd NJ 08016(2)",254999,"Shenzhen Litian Technology Co., Ltd",APS Home Improvement,NJ,669,565,3,15,0,26,60,0.8445440956651719,0.004484304932735426,0.02242152466367713,0.0
462813,LD-EOS-SC-359PRO,313528,"Maizhe Intemnational Trade Co., Limited",APS AEOF,SC,570,519,35,5,0,0,11,0.9105263157894737,0.06140350877192982,0.008771929824561403,0.0
225653, LG-NJF02,147876,ningbotanluzheguojimaoyiyouxiangongsi,APS Outdoor,NJ,591,540,0,0,0,0,51,0.9137055837563451,0.0,0.0,0.0
447305,US-POD-NJ,82169,"DALI FORTUNE TRADE CO.,LIMITED",APS Rugs,NJ,1552,527,3,2,0,992,28,0.3395618556701031,0.0019329896907216496,0.001288659793814433,0.0
59554,EC EXPORT INC. NJ 08505,59450,EC EXPORT INC. NJ 08831,APS,NJ,675,492,11,29,0,73,70,0.7288888888888889,0.016296296296296295,0.04296296296296296,0.0
279087,Milien-WPNJ7,233172,"Quanzhou Milien Technology Co., Ltd.",APS Bedroom,NJ,945,465,23,190,0,78,189,0.49206349206349204,0.02433862433862434,0.20105820105820105,0.0
93132,Safavieh IN46075,381,Safavieh,Rugs,IN,9571,406,57,1205,0,2095,5808,0.04241980984223174,0.005955490544352732,0.12590115975342178,0.0
327976,SHEN JUN TRADING LIMITED NJ 08810,327975,SHEN JUN TRADING LIMITED,APS,NJ,1306,450,0,236,0,613,7,0.3445635528330781,0.0,0.1807044410413476,0.0
85184,Aosom LLC GA30294,5725,Aosom LLC,APS Outdoor,GA,2800,435,0,4,0,2307,54,0.15535714285714286,0.0,0.0014285714285714286,0.0
115764,LNJF,94133,VABCHES INTERNATIONAL LIMITED_1,APS,NJ,488,434,0,3,0,0,51,0.889344262295082,0.0,0.006147540983606557,0.0
11861,Nuvo Lighting TX 75234,3478,Nuvo Lighting,Lighting,TX,1770,403,12,91,0,237,1027,0.22768361581920904,0.006779661016949152,0.05141242937853107,0.0
313379,CAIDI INC SC 29927,72066,CAIDI INC,APS,SC,497,359,56,73,0,0,9,0.7223340040241448,0.11267605633802817,0.14688128772635814,0.0
341370,乐歌LG-NJF,234327,Hong Kong Baojia International Limited,APS,NJ,456,415,0,0,0,0,41,0.9100877192982456,0.0,0.0,0.0
149173,Alphamarts 006-F NJ 08554,46710,Alphamarts,APS Outdoor,NJ,1085,351,62,139,0,53,480,0.32350230414746545,0.05714285714285714,0.12811059907834102,0.0
312816,hebeixiongananglangongyinglianyouxiangong NJ 08505,280601,hebeixiongananglangongyinglianyouxiangongsi,APS Mattresses,NJ,738,378,29,249,0,44,38,0.5121951219512195,0.03929539295392954,0.33739837398373984,0.0
212616,WPNJ7,62368,Shenzhen Like Keji Youxiangongsi,APS,NJ,697,368,24,89,0,60,156,0.5279770444763271,0.03443328550932568,0.12769010043041606,0.0
298859,LG-E02/SY-T-USE-1(NJ 08016),56612,Artrage Limited,APS,NJ,443,385,1,0,0,0,57,0.8690744920993227,0.002257336343115124,0.0,0.0
327977,SHEN JUN TRADING LIMITED CA 91710,327975,SHEN JUN TRADING LIMITED,APS,CA,614,385,0,0,0,216,13,0.6270358306188925,0.0,0.0,0.0
338215,"Bedshe International Co.,LTD CA 91761",25843,"Bedshe International Co.,LTD",APS,CA,1705,374,7,42,0,1251,31,0.21935483870967742,0.004105571847507331,0.02463343108504399,0.0
223799,Safavieh Texas,381,Safavieh,Rugs,TX,9562,315,62,163,0,129,8893,0.03294289897510981,0.006483999163354947,0.01704664296172349,0.0
227806,Shenzhenshi Daman NJ 08505,76761,Shenzhenshi Daman Shiye Youxiangongsi,APS K&D,NJ,672,363,12,48,0,97,152,0.5401785714285714,0.017857142857142856,0.07142857142857142,0.0
17059,Flash Furniture MS 38654,7347,Flash Furniture,Casegoods,MS,2194,373,0,7,0,1666,148,0.17000911577028258,0.0,0.0031905195989061076,0.0
313959,LUBBIT INC SC 29927,120034,LUBBIT INC,APS K&D,SC,425,334,30,51,0,0,10,0.7858823529411765,0.07058823529411765,0.12,0.0
508423,Hall CodePulse Dynamics LLC AR 72204,362965,Hall CodePulse Dynamics LLC,Lighting,AR,399,362,0,0,0,2,35,0.9072681704260651,0.0,0.0,0.0
498823,"Hangzhou Gesong E-commerce Co., Ltd. NY 11716",306702,"Hangzhou Gesong E-commerce Co., Ltd.",APS Outdoor,NY,365,361,0,0,0,0,4,0.989041095890411,0.0,0.0,0.0
8576,Monarch Specialties Inc.,8576,Monarch Specialties Inc.,Casegoods,NY,574,0,357,182,0,0,35,0.0,0.6219512195121951,0.3170731707317073,0.0
370220,"Shenzhen Litian Technology Co., Ltd NJ 08817",254999,"Shenzhen Litian Technology Co., Ltd",APS Home Improvement,NJ,1504,340,13,452,0,670,29,0.22606382978723405,0.008643617021276596,0.300531914893617,0.0
50537,Brewster Home Fashions MA,7747,Brewster Home Fashions,Decor,MA,510,0,346,142,0,4,18,0.0,0.6784313725490196,0.2784313725490196,0.0
374553, NJF02,70454,WallBeyond International Inc,APS Decor,NJ,400,345,1,1,0,0,53,0.8625,0.0025,0.0025,0.0
482466,海派艇新泽西仓,25843,"Bedshe International Co.,LTD",APS Soft Home,NJ,1431,341,1,2,0,12,1075,0.23829489867225717,0.0006988120195667365,0.001397624039133473,0.0
279442,HONGKONG BESTARE TECH NJ 08810,108807,YEEYOO INTERNATIONAL LIMITED,APS,NJ,4060,59,282,1312,0,1904,503,0.014532019704433498,0.06945812807881774,0.32315270935960594,0.0
62366,Best Choice Products IN 46231,60257,Best Choice Products,Decor,IN,935,299,42,283,0,294,17,0.31978609625668447,0.044919786096256686,0.30267379679144385,0.0
251889,SKC-E-SC-359PRO-1,106632,"HONG KONG REST TRADING CO.,LIMITED",APS,SC,346,324,13,6,0,0,3,0.9364161849710982,0.03757225433526012,0.017341040462427744,0.0
508660,LINGKEWU XINXI KEJI JIANGSU LTD NJ 08505,97962,LINGKEWU XINXI KEJI JIANGSU LTD,APS Bedroom,NJ,548,304,26,52,0,43,123,0.5547445255474452,0.04744525547445255,0.0948905109489051,0.0
12203,Bungalow Flooring LLC GA 30721,10607,Bungalow Flooring LLC,Decor,GA,962,0,321,12,0,6,623,0.0,0.33367983367983367,0.012474012474012475,0.0
352208,"Ningbo Chuangjiuyi Technology Co., Ltd NY 11716",86525,"Ningbo Chuangjiuyi Technology Co., Ltd",APS Upholstery,NY,334,320,0,0,0,0,14,0.9580838323353293,0.0,0.0,0.0
272871,CAIDI INC NJ 07064,72066,CAIDI INC,APS,NJ,1212,298,21,419,0,449,25,0.24587458745874588,0.017326732673267328,0.3457095709570957,0.0
347970,Fabdivine LLC IL 60611 (2),231459,Fabdivine LLC,Soft Home,IL,494,0,317,88,0,12,77,0.0,0.6417004048582996,0.17813765182186234,0.0
271985,LUBBIT INC NJ 07064,120034,LUBBIT INC,APS K&D,NJ,1227,280,24,396,0,501,26,0.22819885900570497,0.019559902200488997,0.32273838630806845,0.0
