origin_state,dest_region,vol,suppliers,pct_of_directs
MO,South Central,178,28,0.00030608332000667195
OR,West Coast,177,36,0.0003043637507931513
DE,Southeast,175,46,0.00030092461236611
VA,Mountain,173,27,0.00029748547393906876
MN,South Central,171,19,0.0002940463355120275
AL,West Coast,169,20,0.00029060719708498626
CT,Midwest,168,29,0.00028888762787146564
WI,Florida,168,22,0.00028888762787146564
KS,Northeast,163,22,0.0002802897818038625
VA,Northeast,162,18,0.0002785702125903419
DE,West Coast,158,32,0.0002716919357362594
NC,Mid-Atlantic,157,47,0.0002699723665227387
AZ,Mid-Atlantic,152,29,0.00026137452045513557
CT,Florida,150,28,0.0002579353820280943
AL,Florida,149,12,0.0002562158128145737
NJ,Unknown,148,122,0.00025449624360105306
OR,Midwest,147,36,0.00025277667438753244
KS,Mid-Atlantic,146,19,0.0002510571051740118
MO,Southeast,146,30,0.0002510571051740118
AL,South Central,145,9,0.0002493375359604912
DE,Florida,145,38,0.0002493375359604912
NJ,Northeast,144,111,0.00024761796674697056
OK,West Coast,144,13,0.00024761796674697056
KS,South Central,140,22,0.00024073968989288803
MI,Mountain,137,27,0.00023558098225232615
KS,Florida,135,16,0.0002321418438252849
UT,Mountain,129,13,0.00022182442854416112
UT,Southeast,127,20,0.00021838529011711987
MO,Midwest,127,26,0.00021838529011711987
MN,Mid-Atlantic,123,16,0.00021150701326303734
AR,Florida,122,9,0.0002097874440495167
OR,Northeast,119,31,0.00020462873640895483
GA,Unknown,119,79,0.00020462873640895483
RI,Mountain,114,5,0.00019603089034135168
MO,Northeast,113,27,0.00019431132112783105
DE,South Central,112,31,0.00019259175191431042
OR,Southeast,112,29,0.00019259175191431042
AL,Mid-Atlantic,111,12,0.0001908721827007898
UT,Midwest,110,16,0.00018915261348726917
UT,Florida,109,13,0.00018743304427374855
AR,Mountain,104,8,0.0001788351982061454
MO,West Coast,102,18,0.00017539605977910414
MN,Florida,101,15,0.0001736764905655835
MA,Mountain,99,26,0.00017023735213854226
OK,Midwest,98,12,0.00016851778292502163
MI,Midwest,96,21,0.00016507864449798036
CT,Mountain,95,21,0.00016335907528445973
AZ,Mountain,91,22,0.00015648079843037723
OR,Florida,90,29,0.0001547612292168566
DE,Mountain,82,22,0.00014100467550869157
MN,Mountain,82,11,0.00014100467550869157
TX,Unknown,77,46,0.0001324068294410884
OR,South Central,76,27,0.00013068726022756778
AL,Southeast,74,15,0.00012724812180052653
IL,Unknown,69,29,0.00011865027573292339
UT,Northeast,68,12,0.00011693070651940276
IA,Southeast,67,10,0.00011521113730588214
UT,Mid-Atlantic,67,13,0.00011521113730588214
IA,South Central,67,7,0.00011521113730588214
MO,Mountain,66,16,0.0001134915680923615
OR,Mountain,64,29,0.00011005242966532025
PA,Mid-Atlantic,64,33,0.00011005242966532025
OR,Mid-Atlantic,62,27,0.00010661329123827898
UT,South Central,62,11,0.00010661329123827898
MO,Mid-Atlantic,62,15,0.00010661329123827898
CO,Northeast,61,14,0.00010489372202475835
CO,Midwest,61,17,0.00010489372202475835
IA,West Coast,61,10,0.00010489372202475835
IA,Mountain,60,6,0.00010317415281123773
OK,Southeast,59,14,0.0001014545835977171
CO,Southeast,56,14,9.629587595715521e-05
OK,Northeast,56,6,9.629587595715521e-05
TN,Unknown,53,22,9.113716831659332e-05
MO,Florida,52,17,8.94175991030727e-05
CO,West Coast,49,12,8.425889146251082e-05
AR,Northeast,47,7,8.081975303546955e-05
IA,Northeast,46,8,7.910018382194893e-05
IA,Midwest,45,7,7.73806146084283e-05
PA,Northeast,42,7,7.222190696786641e-05
CO,Mid-Atlantic,41,16,7.050233775434578e-05
OK,Mountain,41,10,7.050233775434578e-05
RI,Northeast,40,3,6.878276854082516e-05
NY,Unknown,38,23,6.534363011378389e-05
OK,Florida,38,6,6.534363011378389e-05
OK,Mid-Atlantic,37,9,6.362406090026327e-05
AR,Mid-Atlantic,36,11,6.190449168674264e-05
IA,Mid-Atlantic,35,7,6.018492247322201e-05
CT,Mid-Atlantic,34,14,5.846535325970138e-05
PA,Unknown,32,23,5.502621483266012e-05
FL,Florida,31,19,5.330664561913949e-05
CO,South Central,24,9,4.126966112449509e-05
AL,Mountain,23,7,3.955009191097446e-05
CO,Florida,23,9,3.955009191097446e-05
OK,South Central,22,10,3.783052269745384e-05
ID,West Coast,22,2,3.783052269745384e-05
MA,Northeast,22,12,3.783052269745384e-05
OH,Unknown,20,10,3.439138427041258e-05
NE,Southeast,20,4,3.439138427041258e-05
NE,Midwest,19,2,3.2671815056891946e-05
CO,Mountain,18,11,3.095224584337132e-05
NE,Northeast,16,3,2.751310741633006e-05
MT,West Coast,16,12,2.751310741633006e-05
IA,Florida,14,2,2.4073968989288803e-05
MD,Unknown,13,12,2.2354399775768174e-05
FL,Unknown,13,9,2.2354399775768174e-05
LA,Southeast,13,5,2.2354399775768174e-05
NV,Unknown,12,8,2.0634830562247544e-05
NE,South Central,11,3,1.891526134872692e-05
MS,Unknown,11,6,1.891526134872692e-05
NE,Mid-Atlantic,11,4,1.891526134872692e-05
NE,West Coast,11,3,1.891526134872692e-05
NH,Southeast,10,5,1.719569213520629e-05
IN,Unknown,10,5,1.719569213520629e-05
WI,Unknown,9,6,1.547612292168566e-05
NH,Florida,9,3,1.547612292168566e-05
NH,West Coast,9,6,1.547612292168566e-05
NC,Unknown,8,6,1.375655370816503e-05
SC,Unknown,8,3,1.375655370816503e-05
SD,Northeast,7,2,1.2036984494644401e-05
KY,Unknown,7,4,1.2036984494644401e-05
VA,Unknown,7,6,1.2036984494644401e-05
LA,Northeast,6,3,1.0317415281123772e-05
NM,Midwest,6,2,1.0317415281123772e-05
LA,South Central,6,4,1.0317415281123772e-05
CT,Northeast,6,5,1.0317415281123772e-05
UT,Unknown,5,1,8.597846067603145e-06
WA,Unknown,5,4,8.597846067603145e-06
MT,Midwest,4,3,6.878276854082515e-06
SD,Southeast,4,3,6.878276854082515e-06
ID,Midwest,4,2,6.878276854082515e-06
CT,Unknown,4,3,6.878276854082515e-06
NH,Midwest,4,2,6.878276854082515e-06
KS,Unknown,4,3,6.878276854082515e-06
NH,Mid-Atlantic,4,3,6.878276854082515e-06
NE,Florida,4,3,6.878276854082515e-06
LA,Midwest,4,4,6.878276854082515e-06
NH,Mountain,3,2,5.158707640561886e-06
MA,Unknown,3,3,5.158707640561886e-06
MT,Northeast,3,2,5.158707640561886e-06
SD,Midwest,3,2,5.158707640561886e-06
ID,Mountain,3,2,5.158707640561886e-06
LA,West Coast,3,3,5.158707640561886e-06
AR,Unknown,3,1,5.158707640561886e-06
AZ,Unknown,2,2,3.4391384270412577e-06
NE,Mountain,2,1,3.4391384270412577e-06
MT,Mountain,2,2,3.4391384270412577e-06
NH,South Central,2,2,3.4391384270412577e-06
MT,Florida,2,1,3.4391384270412577e-06
VT,Midwest,2,1,3.4391384270412577e-06
MO,Unknown,2,2,3.4391384270412577e-06
DE,Mid-Atlantic,2,2,3.4391384270412577e-06
SD,Mid-Atlantic,2,1,3.4391384270412577e-06
NM,South Central,2,2,3.4391384270412577e-06
NM,West Coast,2,1,3.4391384270412577e-06
MT,Southeast,2,2,3.4391384270412577e-06
LA,Mid-Atlantic,2,1,3.4391384270412577e-06
SD,South Central,2,2,3.4391384270412577e-06
VT,South Central,1,1,1.7195692135206288e-06
VT,Mid-Atlantic,1,1,1.7195692135206288e-06
MN,Unknown,1,1,1.7195692135206288e-06
