candidate_bucket,supplier_id,su_name,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,actual_induction_hub_name,actual_induction_hub_state,destination_state,destination_zipcode,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,direct_gain,inducted_on_time_or_early,delivery_rel,purchase_order_number,tracking_number,ops,promised_delivery_end_range_date_at_order
jumbo,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,Ocala,FL,CA,91301,2452.2,,234.7,,0,1,671681060,875217037101,11522804897,2026-08-10
jumbo,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,Ocala,FL,MS,38655,578.8,,234.7,,1,0,672202915,875346616451,12490881941,2026-08-10
jumbo,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,Ocala,FL,CA,92373,2386.9,,234.7,,0,1,671566617,875217114456,80176424260,2026-08-10
jumbo,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,Ocala,FL,CA,92128,2390.5,,234.7,,0,1,671680353,875217027800,80177581110,2026-08-10
jumbo,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,Ocala,FL,CA,90066,2436.0,,234.7,,0,1,671740143,875217440072,80178200410,2026-08-10
jumbo,44034,Wexford Home IL,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,Harrisburg,PA,PA,19475,740.6,,672.7,,1,1,671173745,531303716400,80172355800,2026-08-08
jumbo,44034,Wexford Home IL,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,Harrisburg,PA,PA,19475,740.6,,672.7,,1,1,671173745,531303716400,80172356040,2026-08-08
jumbo,44034,Wexford Home IL,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,Hagerstown,MD,KY,42103,415.1,619.9,636.8,-0.493375090339677,1,1,671175666,531306782498,80172370150,2026-08-08
jumbo,44034,Wexford Home IL,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,Houston,TX,VA,20176,683.4,1404.9,1087.4,-1.0557506584723444,0,0,670597694,531303746799,80166441080,2026-08-04
jumbo,44034,Wexford Home IL,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,HAGERSTOWN,MD,Mccook,IL,CA,95691,2658.9,2030.5,642.0,0.23633833540185795,1,0,670360034,531303250158,80164010280,2026-08-03
jumbo,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,Tracy,CA,ID,83616,860.7,617.9,380.0,0.2820959683978158,1,1,672477751,875480341599,80185962000,2026-08-10
jumbo,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,Portland,OR,UT,84003,615.0,,1033.7,,0,0,671153282,875119570089,80172169230,2026-08-02
jumbo,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,Tracy,CA,VA,20175,2596.7,2770.2,380.0,-0.06681557361266223,1,0,669787211,874891688586,80158077430,2026-07-31
jumbo,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,SAVANNAH,GA,Rialto,CA,TX,75205,1030.1,1388.2,2371.3,-0.3476361518299196,0,0,670111141,874941834226,80158877850,2026-07-29
jumbo,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,BAYTOWN,TX,Rialto,CA,FL,32137,911.0,2428.4,1521.5,-1.6656421514818882,1,0,668681668,874579813584,12424493011,2026-07-22
jumbo,59806,DesignArt Inc. NY,NY,Champlain,12919,156 Lawrence Paquette Dr,HAGERSTOWN,MD,Plattsburgh,NY,TX,76903,1593.8,2019.0,523.9,-0.2667837871753043,1,0,672185028,383050085075,80180804100,2026-08-07
jumbo,59806,DesignArt Inc. NY,NY,Champlain,12919,156 Lawrence Paquette Dr,HAGERSTOWN,MD,Plattsburgh,NY,FL,33477,1040.5,1507.6,523.9,-0.4489187890437289,1,0,671897996,383027049506,80179803080,2026-08-06
jumbo,59806,DesignArt Inc. NY,NY,Champlain,12919,156 Lawrence Paquette Dr,HAGERSTOWN,MD,Plattsburgh,NY,NC,28741,575.4,,523.9,,1,0,672184959,383025957138,80182051630,2026-08-06
jumbo,59806,DesignArt Inc. NY,NY,Champlain,12919,156 Lawrence Paquette Dr,HAGERSTOWN,MD,Plattsburgh,NY,OR,97303,2780.2,3000.7,523.9,-0.0793108409466945,0,0,670979004,382980013927,80170331620,2026-08-05
jumbo,59806,DesignArt Inc. NY,NY,Champlain,12919,156 Lawrence Paquette Dr,PLATTSBURGH,NY,Binghamton,NY,TX,75048,1732.3,,287.2,,1,1,669829705,382817653451,80158525220,2026-08-04
jumbo,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Orlando,FL,WA,98112,3322.1,3113.9,245.1,0.06267120195057338,1,1,669604520,874818119877,80156166090,2026-07-31
jumbo,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Stockton Rsf,CA,CA,94116,3106.0,,3053.8,,1,1,659766822,872846140788,11438301537,2026-07-24
jumbo,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Orlando,FL,TX,75224,1300.7,1094.7,245.1,0.15837625893749518,1,0,668526081,874559323384,12357592319,2026-07-23
jumbo,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Stockton Rsf,CA,CA,94129,3103.9,,3053.8,,1,1,661171990,872822133425,11402308976,2026-06-17
jumbo,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Denver,CO,UT,84015,2519.8,,2058.5,,1,1,661288424,872869552912,11403024066,2026-06-17
jumbo,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,SAVANNAH,GA,Arcadia,CA,CO,80233,1662.1,1007.9,2402.9,0.39359845977979663,0,1,668216563,531288730053,12288778223,2026-07-21
jumbo,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Columbus,OH,PA,15026,2384.7,,2205.2,,1,1,661080999,526528030529,12319972601,2026-06-16
jumbo,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Binghamton,NY,NY,12078,2753.9,,2663.6,,1,1,660651548,526525698989,12324763892,2026-06-16
jumbo,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Toledo,OH,MI,48127,2227.9,,2197.3,,1,1,661299775,526528967623,80128787410,2026-06-16
jumbo,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Portland,OR,WA,99163,1095.9,,1033.7,,1,1,661357061,526529403533,11450579787,2026-06-15
jumbo,237104,Devion Furniture,CA,Ontario,91761,4422 E Airport Drive,CHINO LOCAL,CA,Toledo,OH,NC,28605,2316.8,,2208.7,,1,1,670778051,531300820634,80168300830,2026-08-05
jumbo,237104,Devion Furniture,CA,Ontario,91761,4422 E Airport Drive,CHINO LOCAL,CA,Toledo,OH,NC,28605,2316.8,,2208.7,,1,1,670778051,531300820634,80168300840,2026-08-05
jumbo,237104,Devion Furniture,CA,Ontario,91761,4422 E Airport Drive,MISSOULA,MT,Chino Hills Ncpc,CA,FL,33186,2841.0,2700.1,1181.1,0.04959521295318553,1,1,669095594,531292982894,80151637890,2026-08-02
